0,1,2,3,4
Declension of glæma,,,,
f1,singular,plural,,
indefinite,definite,indefinite,definite,
nominative,glæma,glæman,glæmur,glæmurnar
accusative,glæmu,glæmuna,glæmur,glæmurnar
dative,glæmu,glæmuni,glæmum,glæmunum
genitive,glæmu,glæmunnar,glæma,glæmanna
v-30,,,,
,,,,
infinitive,glæma,,,
present participle,glæmandi,,,
past participle a6,glæmaður,,,
supine,glæmað,,,
number,singular,plural,,
person,first,second,third,all
indicative,eg,tú,hann/hon/tað,"vit, tit, teir/tær/tey, tygum"
present,glæmi,glæmar,glæmar,glæma
past,glæmaði,glæmaði,glæmaði,glæmaðu
imperative,–,tú,–,tit
present,—,glæma!,—,glæmið!
