0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Declension of puolialaston (type onneton)  singular  plural  nominative  puolialaston  puolialastomat  genitive  puolialastoman  puolialastomienpuolialastonten1  partitive  puolialastonta  puolialastomia  accusative  puolialastonpuolialastoman  puolialastomat  inessive  puolialastomassa  puolialastomissa  elative  puolialastomasta  puolialastomista  illative  puolialastomaan  puolialastomiin  adessive  puolialastomalla  puolialastomilla  ablative  puolialastomalta  puolialastomilta  allative  puolialastomalle  puolialastomille  essive  puolialastomana  puolialastomina  translative  puolialastomaksi  puolialastomiksi  instructive  –  puolialastomin  abessive  puolialastomatta  puolialastomitta  comitative  –  puolialastomine  1) Rare.,,singular,plural,nominative,puolialaston,puolialastomat,genitive,puolialastoman,puolialastomienpuolialastonten1,partitive,puolialastonta,puolialastomia,accusative,puolialastonpuolialastoman,puolialastomat,inessive,puolialastomassa,puolialastomissa,elative,puolialastomasta,puolialastomista,illative,puolialastomaan,puolialastomiin,adessive,puolialastomalla,puolialastomilla,ablative,puolialastomalta,puolialastomilta,allative,puolialastomalle,puolialastomille,essive,puolialastomana,puolialastomina,translative,puolialastomaksi,puolialastomiksi,instructive,–,puolialastomin,abessive,puolialastomatta,puolialastomitta,comitative,–,puolialastomine,1) Rare.
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,puolialaston,puolialastomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,puolialastoman,puolialastomienpuolialastonten1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,puolialastonta,puolialastomia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,puolialastonpuolialastoman,puolialastomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,puolialastomassa,puolialastomissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,puolialastomasta,puolialastomista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,puolialastomaan,puolialastomiin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,puolialastomalla,puolialastomilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,puolialastomalta,puolialastomilta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,puolialastomalle,puolialastomille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essive,puolialastomana,puolialastomina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,puolialastomaksi,puolialastomiksi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructive,–,puolialastomin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abessive,puolialastomatta,puolialastomitta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comitative,–,puolialastomine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Rare.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,singular,plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nominative,puolialaston,puolialastomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
genitive,puolialastoman,puolialastomienpuolialastonten1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
partitive,puolialastonta,puolialastomia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accusative,puolialastonpuolialastoman,puolialastomat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inessive,puolialastomassa,puolialastomissa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elative,puolialastomasta,puolialastomista,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illative,puolialastomaan,puolialastomiin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adessive,puolialastomalla,puolialastomilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ablative,puolialastomalta,puolialastomilta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allative,puolialastomalle,puolialastomille,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
essive,puolialastomana,puolialastomina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
translative,puolialastomaksi,puolialastomiksi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
instructive,–,puolialastomin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abessive,puolialastomatta,puolialastomitta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comitative,–,puolialastomine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1) Rare.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
