0,1,2,3,4,5,6
"Inflection of tumma (Kotus type 10/koira, no gradation)",,,,,,
nominative,tumma,tummat,,,,
genitive,tumman,tummien,,,,
partitive,tummaa,tummia,,,,
illative,tummaan,tummiin,,,,
,singular,plural,,,,
nominative,tumma,tummat,,,,
accusative,nom.,tumma,tummat,,,
gen.,tumman,,,,,
genitive,tumman,tummientummainrare,,,,
partitive,tummaa,tummia,,,,
inessive,tummassa,tummissa,,,,
elative,tummasta,tummista,,,,
illative,tummaan,tummiin,,,,
adessive,tummalla,tummilla,,,,
ablative,tummalta,tummilta,,,,
allative,tummalle,tummille,,,,
essive,tummana,tummina,,,,
translative,tummaksi,tummiksi,,,,
instructive,—,tummin,,,,
abessive,tummatta,tummitta,,,,
comitative,—,tummine,,,,
tumma puku  tummahko,,tummentaa  tummento,,tummentua  tummeta,,tummua  tummuus
tummahiuksinen  tummaihoinen  tummajättiläishyppypäästäinen  tummalahnanruoho,,tummalakihapero  tummalakiseitikki  tummanharmaa  tummanpuhuva,,tummapuumuura  tummasolusyöpä  tummasävyinen  tummatukkainen,,tummatäpläseitikki  tummaverikkö  tummaverinen
"Inflection of tumma (Kotus type 10/koira, no gradation)",,,,,,
nominative,tumma,tummat,,,,
genitive,tumman,tummien,,,,
partitive,tummaa,tummia,,,,
illative,tummaan,tummiin,,,,
,singular,plural,,,,
nominative,tumma,tummat,,,,
accusative,nom.,tumma,tummat,,,
gen.,tumman,,,,,
genitive,tumman,tummientummainrare,,,,
partitive,tummaa,tummia,,,,
inessive,tummassa,tummissa,,,,
elative,tummasta,tummista,,,,
illative,tummaan,tummiin,,,,
adessive,tummalla,tummilla,,,,
ablative,tummalta,tummilta,,,,
allative,tummalle,tummille,,,,
essive,tummana,tummina,,,,
translative,tummaksi,tummiksi,,,,
instructive,—,tummin,,,,
abessive,tummatta,tummitta,,,,
comitative,—,tummineen,,,,
