0,1,2,3,4,5,6
"Inflection of varsi (Kotus type 28/kynsi, rt-rr gradation)",,,,,,
nominative,varsi,varret,,,,
genitive,varren,varsien,,,,
partitive,vartta,varsia,,,,
illative,varteen,varsiin,,,,
,singular,plural,,,,
nominative,varsi,varret,,,,
accusative,nom.,varsi,varret,,,
gen.,varren,,,,,
genitive,varren,varsienvarttenrare,,,,
partitive,vartta,varsia,,,,
inessive,varressa,varsissa,,,,
elative,varresta,varsista,,,,
illative,varteen,varsiin,,,,
adessive,varrella,varsilla,,,,
ablative,varrelta,varsilta,,,,
allative,varrelle,varsille,,,,
essive,vartena,varsina,,,,
translative,varreksi,varsiksi,,,,
instructive,—,varsin,,,,
abessive,varretta,varsitta,,,,
comitative,—,varsineen,,,,
männänvarsi,,vipuvarsi,,,,
kaulavarsi  käsivarsi,,olkavarsi  kyynärvarsi,,jalkavarsi  reisivarsi,,säärivarsi  nenänvarsi
alkeisvarsi,,ilmavarsi,,maavarsi,,sekovarsi
harjanvarsi  joenvarsi,,jokivarsi  tienvarsi,,varsieväinen  varsieväkala,,varsijousi  varsiluuta
