0,1,2,3,4
"Inflection of juuri (Kotus type 26/pieni, no gradation)",,,,
nominative,juuri,juuret,,
genitive,juuren,juurtenjuurien,,
partitive,juurta,juuria,,
illative,juureen,juuriin,,
,singular,plural,,
nominative,juuri,juuret,,
accusative,nom.,juuri,juuret,
gen.,juuren,,,
genitive,juuren,juurtenjuurien,,
partitive,juurta,juuria,,
inessive,juuressa,juurissa,,
elative,juuresta,juurista,,
illative,juureen,juuriin,,
adessive,juurella,juurilla,,
ablative,juurelta,juurilta,,
allative,juurelle,juurille,,
essive,juurena,juurina,,
translative,juureksi,juuriksi,,
instructive,—,juurin,,
abessive,juuretta,juuritta,,
comitative,—,juurineen,,
jalkojen juuressa  juurakko  juurehtia  juurekas  juures,,juureton  juureva  juuria  juurikas  -juurinen,,juuristo  juurittaa  juurruttaa  juurtaa  juurtua
alkeisjuuri  alkujuuri  alvejuuri  arrowjuuri  ginsengjuuri  hampaanjuuri  hapanjuuri  harajuuri  hirvenjuuri  hiusjuuri  ilmajuuri  juurenhaara  juurenotto  juuriartisokka  juurieläin  juuriharja  juurihoitaa  juurihoito  juurihuntu  juurijalkainen  juurikalvo  juurikanava  juurikarva  juurikasvi  juurikori  juurikääpä,,juurilaho  juurilauseke  juurimato  juurimatto  juurimerkki  juurimukula  juurinystyrä  juuriosa  juuripaakku  juuripaikka  juuripermanentti  juuripuu  juuriselleri  juuritäyte  juuriverso  juurivesa  juurta jaksaen  juurta jaksain  kalmojuuri  karvanjuuri  keltajuuri  kuutiojuuri  kynnenjuuri  lakritsijuuri  lisäjuuri  mukulajuuri,,mustajuuri  neliöjuuri  nenänjuuri  nuolijuuri  perin juurin  pesäjuuri  piparjuuri  pukinjuuri  punajuuri  purtojuuri  puunjuuri  pärskäjuuri  pääjuuri  ruohonjuuritaso  rusojuuri  ruttojuuri  sienijuuri  sirkkajuuri  sukujuuri  sydänjuuret  syyläjuuri  taikinanjuuri  verijuuri  versojuuri  virmajuuri
