0,1,2,3,4,5,6
"Inflection of soitin (Kotus type 33/kytkin, tt-t gradation)",,,,,,
nominative,soitin,soittimet,,,,
genitive,soittimen,soittimiensoitinten,,,,
partitive,soitinta,soittimia,,,,
illative,soittimeen,soittimiin,,,,
,singular,plural,,,,
nominative,soitin,soittimet,,,,
accusative,nom.,soitin,soittimet,,,
gen.,soittimen,,,,,
genitive,soittimen,soittimiensoitinten,,,,
partitive,soitinta,soittimia,,,,
inessive,soittimessa,soittimissa,,,,
elative,soittimesta,soittimista,,,,
illative,soittimeen,soittimiin,,,,
adessive,soittimella,soittimilla,,,,
ablative,soittimelta,soittimilta,,,,
allative,soittimelle,soittimille,,,,
essive,soittimena,soittimina,,,,
translative,soittimeksi,soittimiksi,,,,
instructive,—,soittimin,,,,
abessive,soittimetta,soittimitta,,,,
comitative,—,soittimineen,,,,
jousisoitin  kielisoitin  kosketinsoitin  levysoitin,,lyömäsoitin  soitinkoulu  soitinluokitus  soitinmusiikki,,soitinrakennus  soitinrakentaja  soitinsoolo  soitinsävellys,,soitinyhtye  soitinääni  sähkösoitin  vaskisoitin
