0,1,2,3,4,5,6,7
,simple,compound,,,,,
infinitive,fourrager,avoir fourragé,,,,,
gerund,en fourrageant,en ayant fourragé,,,,,
present participle,fourrageant/fu.ʁa.ʒɑ̃/,,,,,,
past participle,fourragé/fu.ʁa.ʒe/,,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,je (j’),tu,il,nous,vous,ils,
simpletenses,present,fourrage/fu.ʁaʒ/,fourrages/fu.ʁaʒ/,fourrage/fu.ʁaʒ/,fourrageons/fu.ʁa.ʒɔ̃/,fourragez/fu.ʁa.ʒe/,fourragent/fu.ʁaʒ/
imperfect,fourrageais/fu.ʁa.ʒɛ/,fourrageais/fu.ʁa.ʒɛ/,fourrageait/fu.ʁa.ʒɛ/,fourragions/fu.ʁa.ʒjɔ̃/,fourragiez/fu.ʁa.ʒje/,fourrageaient/fu.ʁa.ʒɛ/,
past historic1,fourrageai/fu.ʁa.ʒe/,fourrageas/fu.ʁa.ʒa/,fourragea/fu.ʁa.ʒa/,fourrageâmes/fu.ʁa.ʒam/,fourrageâtes/fu.ʁa.ʒat/,fourragèrent/fu.ʁa.ʒɛʁ/,
future,fourragerai/fu.ʁa.ʒə.ʁe/,fourrageras/fu.ʁa.ʒə.ʁa/,fourragera/fu.ʁa.ʒə.ʁa/,fourragerons/fu.ʁa.ʒə.ʁɔ̃/,fourragerez/fu.ʁa.ʒə.ʁe/,fourrageront/fu.ʁa.ʒə.ʁɔ̃/,
conditional,fourragerais/fu.ʁa.ʒə.ʁɛ/,fourragerais/fu.ʁa.ʒə.ʁɛ/,fourragerait/fu.ʁa.ʒə.ʁɛ/,fourragerions/fu.ʁa.ʒə.ʁjɔ̃/,fourrageriez/fu.ʁa.ʒə.ʁje/,fourrageraient/fu.ʁa.ʒə.ʁɛ/,
compoundtenses,present perfect,Use the present tense of avoir followed by the past participle,,,,,
pluperfect,Use the imperfect tense of avoir followed by the past participle,,,,,,
past anterior1,Use the past historic tense of avoir followed by the past participle,,,,,,
future perfect,Use the future tense of avoir followed by the past participle,,,,,,
conditional perfect,Use the conditional tense of avoir followed by the past participle,,,,,,
subjunctive,que je (j’),que tu,qu’il,que nous,que vous,qu’ils,
simpletenses,present,fourrage/fu.ʁaʒ/,fourrages/fu.ʁaʒ/,fourrage/fu.ʁaʒ/,fourragions/fu.ʁa.ʒjɔ̃/,fourragiez/fu.ʁa.ʒje/,fourragent/fu.ʁaʒ/
imperfect1,fourrageasse/fu.ʁa.ʒas/,fourrageasses/fu.ʁa.ʒas/,fourrageât/fu.ʁa.ʒa/,fourrageassions/fu.ʁa.ʒa.sjɔ̃/,fourrageassiez/fu.ʁa.ʒa.sje/,fourrageassent/fu.ʁa.ʒas/,
compoundtenses,past,Use the present subjunctive tense of avoir followed by the past participle,,,,,
pluperfect1,Use the imperfect subjunctive tense of avoir followed by the past participle,,,,,,
imperative,–,tu,–,nous,vous,–,
—,fourrage/fu.ʁaʒ/,—,fourrageons/fu.ʁa.ʒɔ̃/,fourragez/fu.ʁa.ʒe/,—,,
1literary tenses,,,,,,,
