0,1,2,3,4,5,6,7
,simple,compound,,,,,
infinitive,grattouiller,avoir grattouillé,,,,,
gerund,en grattouillant,en ayant grattouillé,,,,,
present participle,grattouillant/ɡʁa.tu.jɑ̃/,,,,,,
past participle,grattouillé/ɡʁa.tu.je/,,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,je (j’),tu,il,nous,vous,ils,
simpletenses,present,grattouille/ɡʁa.tuj/,grattouilles/ɡʁa.tuj/,grattouille/ɡʁa.tuj/,grattouillons/ɡʁa.tu.jɔ̃/,grattouillez/ɡʁa.tu.je/,grattouillent/ɡʁa.tuj/
imperfect,grattouillais/ɡʁa.tu.jɛ/,grattouillais/ɡʁa.tu.jɛ/,grattouillait/ɡʁa.tu.jɛ/,grattouillions/ɡʁa.tuj.jɔ̃/,grattouilliez/ɡʁa.tuj.je/,grattouillaient/ɡʁa.tu.jɛ/,
past historic1,grattouillai/ɡʁa.tu.je/,grattouillas/ɡʁa.tu.ja/,grattouilla/ɡʁa.tu.ja/,grattouillâmes/ɡʁa.tu.jam/,grattouillâtes/ɡʁa.tu.jat/,grattouillèrent/ɡʁa.tu.jɛʁ/,
future,grattouillerai/ɡʁa.tu.jə.ʁe/,grattouilleras/ɡʁa.tu.jə.ʁa/,grattouillera/ɡʁa.tu.jə.ʁa/,grattouillerons/ɡʁa.tu.jə.ʁɔ̃/,grattouillerez/ɡʁa.tu.jə.ʁe/,grattouilleront/ɡʁa.tu.jə.ʁɔ̃/,
conditional,grattouillerais/ɡʁa.tu.jə.ʁɛ/,grattouillerais/ɡʁa.tu.jə.ʁɛ/,grattouillerait/ɡʁa.tu.jə.ʁɛ/,grattouillerions/ɡʁa.tu.jə.ʁjɔ̃/,grattouilleriez/ɡʁa.tu.jə.ʁje/,grattouilleraient/ɡʁa.tu.jə.ʁɛ/,
compoundtenses,present perfect,Use the present tense of avoir followed by the past participle,,,,,
pluperfect,Use the imperfect tense of avoir followed by the past participle,,,,,,
past anterior1,Use the past historic tense of avoir followed by the past participle,,,,,,
future perfect,Use the future tense of avoir followed by the past participle,,,,,,
conditional perfect,Use the conditional tense of avoir followed by the past participle,,,,,,
subjunctive,que je (j’),que tu,qu’il,que nous,que vous,qu’ils,
simpletenses,present,grattouille/ɡʁa.tuj/,grattouilles/ɡʁa.tuj/,grattouille/ɡʁa.tuj/,grattouillions/ɡʁa.tuj.jɔ̃/,grattouilliez/ɡʁa.tuj.je/,grattouillent/ɡʁa.tuj/
imperfect1,grattouillasse/ɡʁa.tu.jas/,grattouillasses/ɡʁa.tu.jas/,grattouillât/ɡʁa.tu.ja/,grattouillassions/ɡʁa.tu.ja.sjɔ̃/,grattouillassiez/ɡʁa.tu.ja.sje/,grattouillassent/ɡʁa.tu.jas/,
compoundtenses,past,Use the present subjunctive tense of avoir followed by the past participle,,,,,
pluperfect1,Use the imperfect subjunctive tense of avoir followed by the past participle,,,,,,
imperative,–,tu,–,nous,vous,–,
—,grattouille/ɡʁa.tuj/,—,grattouillons/ɡʁa.tu.jɔ̃/,grattouillez/ɡʁa.tu.je/,—,,
1literary tenses,,,,,,,
