0,1,2,3,4,5,6,7
infinitive,cori,,,,,,
gerund,corint,,,,,,
past participle,corût,,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,,jo o,tu tu,lui al/jê e,nô o,vô o,lôr a
present,cor,coris,cor,corìn,corês,corin,
imperfect,corevi,corevis,coreve,corevin,corevis,corevin,
simple past,corei,coreris,corè,corerin,coreris,corerin,
future,corarai,corarâs,corarà,corarìn,corarês,coraran,
subjunctive,,jo o,tu tu,lui al/jê e,nô o,vô o,lôr a
present,cori,coris,cori,corìn,corês,corin,
imperfect,corès,coressis,corès,coressin,coressis,coressin,
conditional,,jo o,tu tu,lui al/jê e,nô o,vô o,lôr a
present,corarès,coraressis,corarès,coraressin,coraressis,coraressin,
imperative,–,tu,–,nô,vô,–,
—,cor,—,corìn,corêt,—,,
coridôr  corint  coriere,,cors  corse  scori,,,,,
