0,1,2,3,4,5,6,7
infinitive,xugular,,,,,,
gerund,xugulando,,,,,,
past participle,,singular,plural,,,,
masculine,xugulado,xugulados,,,,,
feminine,xugulada,xuguladas,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,,eu,ti,el / ela / Vde.,nós,vós,eles / elas / Vdes.
present,xugulo,xugulas,xugula,xugulamos,xugulades,xugulan,
imperfect,xugulaba,xugulabas,xugulaba,xugulabamos,xugulabades,xugulaban,
preterite,xugulei,xugulaches,xugulou,xugulamos,xugulastes,xugularon,
pluperfect,xugulara,xugularas,xugulara,xugularamos,xugularades,xugularan,
future,xugularei,xugularás,xugulará,xugularemos,xugularedes,xugularán,
conditional,xugularía,xugularías,xugularía,xugulariamos,xugulariades,xugularían,
subjunctive,,eu,ti,el / ela / Vde.,nós,vós,eles / elas / Vdes.
present,xugule,xugules,xugule,xugulemos,xuguledes,xugulen,
preterite,xugulase,xugulases,xugulase,xugulásemos,xugulásedes,xugulasen,
future,xugular,xugulares,xugular,xugularmos,xugulardes,xugularen,
imperative,,—,ti,Vde.,nós,vós,Vdes.
affirmative,—,xugula,xugule,xugulemos,xugulade,xugulen,
negative,—,xugules,xugule,xugulemos,xuguledes,xugulen,
personal infinitive,eu,ti,el / ela / Vde.,nós,vós,eles / elas / Vdes.,
xugular,xugulares,xugular,xugularmos,xugulardes,xugularen,,
