0,1,2,3,4,5,6,7
infinitive,expoñer,,,,,,
gerund,expoñendo,,,,,,
past participle,,singular,plural,,,,
masculine,exposto,expostos,,,,,
feminine,exposta,expostas,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,,eu,ti,el / ela / Vde.,nós,vós,eles / elas / Vdes.
present,expoño,expós,expón,expoñemos,expoñedes,expoñen,
imperfect,expoñía,expoñías,expoñía,expoñiamos,expoñiades,expoñían,
preterite,expuxen,expuxeches,expuxo,expuxemos,expuxestes,expuxeron,
pluperfect,expuxera,expuxeras,expuxera,expuxeramos,expuxerades,expuxeran,
future,expoñerei,expoñerás,expoñerá,expoñeremos,expoñeredes,expoñerán,
conditional,expoñería,expoñerías,expoñería,expoñeriamos,expoñeriades,expoñerían,
subjunctive,,eu,ti,el / ela / Vde.,nós,vós,eles / elas / Vdes.
present,expoña,expoñas,expoña,expoñamos,expoñades,expoñan,
preterite,expuxese,expuxeses,expuxese,expuxésemos,expuxésedes,expuxesen,
future,expuxer,expuxeres,expuxer,expuxermos,expuxerdes,expuxeren,
imperative,,—,ti,Vde.,nós,vós,Vdes.
affirmative,—,expón,expoña,expoñamos,expoñede,expoñan,
negative,—,expoñas,expoña,expoñamos,expoñades,expoñan,
personal infinitive,eu,ti,el / ela / Vde.,nós,vós,eles / elas / Vdes.,
expoñer,expoñeres,expoñer,expoñermos,expoñerdes,expoñeren,,
antepoñer  apoñer  compoñer  contrapoñer  depoñer,,descompoñer  dispoñer  impoñer  indispoñer  opoñer,,poñer  predispoñer  presupoñer  propoñer  repoñer,,recompoñer  supoñer  superpoñer  traspoñer  xustapoñer,
