0,1,2,3,4,5
,singular,plural,archaic plural,,
nominative,მეფე ‎(mepe),მეფეები ‎(mepeebi),მეფენი ‎(mepeni),,
ergative,მეფემ ‎(mepem),მეფეებმა ‎(mepeebma),მეფეთ(ა) ‎(mepet(a)),,
dative,მეფეს(ა) ‎(mepes(a)),მეფეებს(ა) ‎(mepeebs(a)),მეფეთ(ა) ‎(mepet(a)),,
genitive,მეფის(ა) ‎(mepis(a)),მეფეების(ა) ‎(mepeebis(a)),მეფეთ(ა) ‎(mepet(a)),,
instrumental,მეფით(ა) ‎(mepit(a)),მეფეებით(ა) ‎(mepeebit(a)),,,
adverbial,მეფედ(ა) ‎(meped(a)),მეფეებად(ა) ‎(mepeebad(a)),,,
vocative,მეფევ ‎(mepev),მეფეებო ‎(mepeebo),მეფენო ‎(mepeno),,
Notes: archaic plurals might not exist.,,,,,
postpositions taking a dative case,singular,plural,,,
-ზე (on - ),მეფეზე ‎(mepeze),მეფეებზე ‎(mepeebze),,,
-თან (near - ),მეფესთან ‎(mepestan),მეფეებთან ‎(mepeebtan),,,
-ში (in - ),მეფეში ‎(mepeši),მეფეებში ‎(mepeebši),,,
-ვით (like a - ),მეფესავით ‎(mepesavit),მეფეებივით ‎(mepeebivit),,,
postpositions taking a genitive case,singular,plural,,,
-თვის (for - ),მეფისთვის ‎(mepistvis),მეფეებისთვის ‎(mepeebistvis),,,
-ებრ (like a - ),მეფისებრ ‎(mepisebr),მეფეებისებრ ‎(mepeebisebr),,,
-კენ (towards - ),მეფისკენ ‎(mepisḳen),მეფეებისკენ ‎(mepeebisḳen),,,
-გან (from/of - ),მეფისგან ‎(mepisgan),მეფეებისგან ‎(mepeebisgan),,,
postpositions taking an instrumental case,singular,plural,,,
-დან (from / since - ),მეფიდან ‎(mepidan),მეფეებიდან ‎(mepeebidan),,,
-ურთ (together with - ),მეფითურთ ‎(mepiturt),მეფეებითურთ ‎(mepeebiturt),,,
postpositions taking an adverbial case,singular,plural,,,
-მდე (up to - ),მეფემდე ‎(mepemde),მეფეებამდე ‎(mepeebamde),,,
Chess pieces in Georgian · ჭადრაკის ფიგურები ‎(č̣adraḳis pigurebi) (layout · text),,,,,
,,,,,
მეფე ‎(mepe),"დედოფალი ‎(dedopali), ლაზიერი ‎(lazieri)",ეტლი ‎(eṭli),კუ ‎(ḳu),მხედარი ‎(mxedari),პაიკი ‎(ṗaiḳi)
