0,1,2,3,4,5,6,7
,perfective,imperfective,,,,,
verbal noun,დახვეწა,ხვეწა,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
screeves,მე (me),შენ (šen),ის (is),ჩვენ (čven),თქვენ (tkven),ისინი (isini),
present,present,ვხვეწ,ხვეწ,ხვეწს,ვხვეწთ,ხვეწთ,ხვეწენ
imperfect,ვხვეწდი,ხვეწდი,ხვეწდა,ვხვეწდით,ხვეწდით,ხვეწდნენ,
present subjunctive,ვხვეწდე,ხვეწდე,ხვეწდეს,ვხვეწდეთ,ხვეწდეთ,ხვეწდნენ,
future,future,დავხვეწ,დახვეწ,დახვეწს,დავხვეწთ,დახვეწთ,დახვეწენ
conditional,დავხვეწდი,დახვეწდი,დახვეწდა,დავხვეწდით,დახვეწდით,დახვეწდნენ,
future subjunctive,დავხვეწდე,დახვეწდე,დახვეწდეს,დავხვეწდეთ,დახვეწდეთ,დახვეწდნენ,
aorist,aorist,დავხვეწე,დახვეწე,დახვეწა,დავხვეწეთ,დახვეწეთ,დახვეწეს
optative,დავხვეწო,დახვეწო,დახვეწოს,დავხვეწოთ,დახვეწოთ,დახვეწონ,
perfect,perfect,დამიხვეწია,დაგიხვეწია,დაუხვეწია,დაგვიხვეწია,დაგიხვეწია,დაუხვეწია
pluperfect,დამეხვეწა,დაგეხვეწა,დაეხვეწა,დაგვეხვეწ,დაგეხვეწათ,დაეხვეწათ,
perfect subjunctive,დამეხვეწოს,დაგეხვეწოს,დაეხვეწოს,დაგვეხვეწოს,დაგეხვეწოთ,დაეხვეწოთ,
imperative,–,შენ (šen),–,ჩვენ (čven),თქვენ (tkven),–,
—,დახვეწე,—,დავხვეწოთ,დახვეწეთ,,,
