0,1,2,3,4,5
number & gender,singular,plural,,,
masculine,feminine,neuter,all genders,,
predicative,er ist betriebssystemübergreifend,sie ist betriebssystemübergreifend,es ist betriebssystemübergreifend,sie sind betriebssystemübergreifend,
strong declension (without article),nominative,betriebssystemübergreifender,betriebssystemübergreifende,betriebssystemübergreifendes,betriebssystemübergreifende
genitive,betriebssystemübergreifenden,betriebssystemübergreifender,betriebssystemübergreifenden,betriebssystemübergreifender,
dative,betriebssystemübergreifendem,betriebssystemübergreifender,betriebssystemübergreifendem,betriebssystemübergreifenden,
accusative,betriebssystemübergreifenden,betriebssystemübergreifende,betriebssystemübergreifendes,betriebssystemübergreifende,
weak declension (with definite article),nominative,der betriebssystemübergreifende,die betriebssystemübergreifende,das betriebssystemübergreifende,die betriebssystemübergreifenden
genitive,des betriebssystemübergreifenden,der betriebssystemübergreifenden,des betriebssystemübergreifenden,der betriebssystemübergreifenden,
dative,dem betriebssystemübergreifenden,der betriebssystemübergreifenden,dem betriebssystemübergreifenden,den betriebssystemübergreifenden,
accusative,den betriebssystemübergreifenden,die betriebssystemübergreifende,das betriebssystemübergreifende,die betriebssystemübergreifenden,
mixed declension (with indefinite article),nominative,ein betriebssystemübergreifender,eine betriebssystemübergreifende,ein betriebssystemübergreifendes,(keine) betriebssystemübergreifenden
genitive,eines betriebssystemübergreifenden,einer betriebssystemübergreifenden,eines betriebssystemübergreifenden,(keiner) betriebssystemübergreifenden,
dative,einem betriebssystemübergreifenden,einer betriebssystemübergreifenden,einem betriebssystemübergreifenden,(keinen) betriebssystemübergreifenden,
accusative,einen betriebssystemübergreifenden,eine betriebssystemübergreifende,ein betriebssystemübergreifendes,(keine) betriebssystemübergreifenden,
number & gender,singular,plural,,,
masculine,feminine,neuter,all genders,,
predicative,—,—,—,—,
strong declension (without article),nominative,betriebssystemübergreifender,betriebssystemübergreifende,betriebssystemübergreifendes,betriebssystemübergreifende
genitive,betriebssystemübergreifenden,betriebssystemübergreifender,betriebssystemübergreifenden,betriebssystemübergreifender,
dative,betriebssystemübergreifendem,betriebssystemübergreifender,betriebssystemübergreifendem,betriebssystemübergreifenden,
accusative,betriebssystemübergreifenden,betriebssystemübergreifende,betriebssystemübergreifendes,betriebssystemübergreifende,
weak declension (with definite article),nominative,der betriebssystemübergreifende,die betriebssystemübergreifende,das betriebssystemübergreifende,die betriebssystemübergreifenden
genitive,des betriebssystemübergreifenden,der betriebssystemübergreifenden,des betriebssystemübergreifenden,der betriebssystemübergreifenden,
dative,dem betriebssystemübergreifenden,der betriebssystemübergreifenden,dem betriebssystemübergreifenden,den betriebssystemübergreifenden,
accusative,den betriebssystemübergreifenden,die betriebssystemübergreifende,das betriebssystemübergreifende,die betriebssystemübergreifenden,
mixed declension (with indefinite article),nominative,ein betriebssystemübergreifender,eine betriebssystemübergreifende,ein betriebssystemübergreifendes,(keine) betriebssystemübergreifenden
genitive,eines betriebssystemübergreifenden,einer betriebssystemübergreifenden,eines betriebssystemübergreifenden,(keiner) betriebssystemübergreifenden,
dative,einem betriebssystemübergreifenden,einer betriebssystemübergreifenden,einem betriebssystemübergreifenden,(keinen) betriebssystemübergreifenden,
accusative,einen betriebssystemübergreifenden,eine betriebssystemübergreifende,ein betriebssystemübergreifendes,(keine) betriebssystemübergreifenden,
