0,1,2
,,
,Singular,Plural
nominative,mûre,mûren
accusative,mûren,mûren
dative,mûren,mûren
genitive,mûren,mûren
"Middle Low German nouns often switch to other declension classes, and new declension patterns are created throughout the period. As such, this table need not necessarily portray the only existing pattern but might merely be an exemplary of an original or common form.",,
,,
,Singular,Plural
nominative,mü̂re,mü̂ren
accusative,mü̂ren,mü̂ren
dative,mü̂ren,mü̂ren
genitive,mü̂ren,mü̂ren
"Middle Low German nouns often switch to other declension classes, and new declension patterns are created throughout the period. As such, this table need not necessarily portray the only existing pattern but might merely be an exemplary of an original or common form.",,
