0,1,2,3,4,5
infinitive,grausen,,,,
present participle,grausend,,,,
past participle,gegraust,,,,
auxiliary,haben,,,,
,indicative,,subjunctive,,
present,ich grause,wir grausen,i,ich grause,wir grausen
du graust,ihr graust,du grausest,ihr grauset,,
er graust,sie grausen,er grause,sie grausen,,
,,,,,
preterite,ich grauste,wir grausten,ii,ich grauste,wir grausten
du graustest,ihr graustet,du graustest,ihr graustet,,
er grauste,sie grausten,er grauste,sie grausten,,
,,,,,
imperative,graus (du)grause (du),graust (ihr),,,
perfect,,,,,
indicative,ich habe gegraust,wir haben gegraust,subjunctive,ich habe gegraust,wir haben gegraust
du hast gegraust,ihr habt gegraust,du habest gegraust,ihr habet gegraust,,
er hat gegraust,sie haben gegraust,er habe gegraust,sie haben gegraust,,
pluperfect,,,,,
indicative,ich hatte gegraust,wir hatten gegraust,subjunctive,ich hätte gegraust,wir hätten gegraust
du hattest gegraust,ihr hattet gegraust,du hättest gegraust,ihr hättet gegraust,,
er hatte gegraust,sie hatten gegraust,er hätte gegraust,sie hätten gegraust,,
future i,,,,,
infinitive,grausen werden,subjunctive i,ich werde grausen,wir werden grausen,
du werdest grausen,ihr werdet grausen,,,,
er werde grausen,sie werden grausen,,,,
,,,,,
indicative,ich werde grausen,wir werden grausen,subjunctive ii,ich würde grausen,wir würden grausen
du wirst grausen,ihr werdet grausen,du würdest grausen,ihr würdet grausen,,
er wird grausen,sie werden grausen,er würde grausen,sie würden grausen,,
future ii,,,,,
infinitive,gegraust haben werden,subjunctive i,ich werde gegraust haben,wir werden gegraust haben,
du werdest gegraust haben,ihr werdet gegraust haben,,,,
er werde gegraust haben,sie werden gegraust haben,,,,
,,,,,
indicative,ich werde gegraust haben,wir werden gegraust haben,subjunctive ii,ich würde gegraust haben,wir würden gegraust haben
du wirst gegraust haben,ihr werdet gegraust haben,du würdest gegraust haben,ihr würdet gegraust haben,,
er wird gegraust haben,sie werden gegraust haben,er würde gegraust haben,sie würden gegraust haben,,
