0,1,2,3,4,5,6,7,8
Number,Singular,,Dual,,Plural,,,
Case / Gender,Masculine / Feminine,Neuter,,Masculine / Feminine,Neuter,,Masculine / Feminine,Neuter
Nominative,ἄβῠσσος,ἄβῠσσον,,ἀβῠ́σσω,ἀβῠ́σσω,,ἄβῠσσοι,ἄβῠσσα
Genitive,ἀβῠ́σσου,ἀβῠ́σσου,,ἀβῠ́σσοιν,ἀβῠ́σσοιν,,ἀβῠ́σσων,ἀβῠ́σσων
Dative,ἀβῠ́σσῳ,ἀβῠ́σσῳ,,ἀβῠ́σσοιν,ἀβῠ́σσοιν,,ἀβῠ́σσοις,ἀβῠ́σσοις
Accusative,ἄβῠσσον,ἄβῠσσον,,ἀβῠ́σσω,ἀβῠ́σσω,,ἀβῠ́σσους,ἄβῠσσα
Vocative,ἄβῠσσε,ἄβῠσσον,,ἀβῠ́σσω,ἀβῠ́σσω,,ἄβῠσσοι,ἄβῠσσα
,,,,,,,,
Case / #,Singular,Dual,Plural,,,,,
Nominative,ἡ ἄβυσσος,τὼ ἀβύσσω,αἱ ἄβυσσοι,,,,,
Genitive,τῆς ἀβύσσου,τοῖν ἀβύσσοιν,τῶν ἀβύσσων,,,,,
Dative,τῇ ἀβύσσῳ,τοῖν ἀβύσσοιν,ταῖς ἀβύσσοις,,,,,
Accusative,τὴν ἄβυσσον,τὼ ἀβύσσω,τὰς ἀβύσσους,,,,,
Vocative,ἄβυσσε,ἀβύσσω,ἄβυσσοι,,,,,
,,,,,,,,
Dialectal forms:,,,,,,,,
Notes:,,,,,,,,
