0,1,2
,singular,
nominative,Αργεντινή •,
genitive,Αργεντινής •,
accusative,Αργεντινή •,
vocative,Αργεντινή •,
"Αργεντινός m ‎(Argentinós, “Argentinian”)  Αργεντίνος m ‎(Argentínos, “Argentinian”) (colloquial)  Αργεντινή f ‎(Argentiní, “Argentinian”)  Αργεντίνα f ‎(Argentína, “Argentinian”) (colloquial)  αργεντινός ‎(argentinós, “Argentinian”, adj)",,"Αργεντινέζος m ‎(Argentinézos, “Argentinian”)  Αργεντινέζα f ‎(Argentinéza, “Argentinian”)  αργεντίνικος ‎(argentínikos, “Argentinian”, adj) (colloquial)  αργεντινέζικος ‎(argentinézikos, “Argentinian”, adj)"
,singular,plural
nominative,Αργεντινή •,Αργεντινές •
genitive,Αργεντινής •,Αργεντινών •
accusative,Αργεντινή •,Αργεντινές •
vocative,Αργεντινή •,Αργεντινές •
