0,1,2,3,4
Case / #,Singular,Dual,Plural,
Nominative,μῦθος,μῡ́θω,μῦθοι,
Genitive,μῡ́θου,μῡ́θοιν,μῡ́θων,
Dative,μῡ́θῳ,μῡ́θοιν,μῡ́θοις,
Accusative,μῦθον,μῡ́θω,μῡ́θους,
Vocative,μῦθε,μῡ́θω,μῦθοι,
,,,,
Dialectal forms:,,,,
Notes:,,,,
αἰσχρομῡθέω ‎(aiskhromūthéō)  ἀκρῐτόμῡθος ‎(akritómūthos)  ᾰ̓ληθόμῡθος ‎(alēthómūthos)  ᾰ̓́μῡθος ‎(ámūthos)  γλῠκύμῡθος ‎(glukúmūthos)  δῐκόμῡθος ‎(dikómūthos)  δολῐόμῡθος ‎(doliómūthos)  δολόμῡθος ‎(dolómūthos)  ἐγγαστρίμῡθος ‎(engastrímūthos)  εἰκαιομῡθέω ‎(eikaiomūthéō)  ἐκφερομῡθέω ‎(ekpheromūthéō)  ἐμπεδόμῡθος ‎(empedómūthos)  εὔμῡθος ‎(eúmūthos)  ἐχέμῡθος ‎(ekhémūthos)  ἠπῐόμῡθος ‎(ēpiómūthos),,θελγεσῐ́μῡθος ‎(thelgesímūthos)  θρασύμῡθος ‎(thrasúmūthos)  ἰσχνομῡθέω ‎(iskhnomūthéō)  λῐγύμῡθος ‎(ligúmūthos)  μῡθηγορέω ‎(mūthēgoréō)  μῡθιστορῐ́ᾱ ‎(mūthistoríā)  μῡθογρᾰ́φος ‎(mūthográphos)  μῡθολέσχης ‎(mūtholéskhēs)  μῡθολογέω ‎(mūthologéō)  μῡθόλογος ‎(mūthólogos)  μῡθοπλᾰ́νος ‎(mūthoplános)  μῡθοπλάστης ‎(mūthoplástēs)  μῡθοπλόκος ‎(mūthoplókos)  μῡθοποιέω ‎(mūthopoiéō)  μῡθοποιός ‎(mūthopoiós),,μῡθουργέω ‎(mūthourgéō)  μῡθῳδός ‎(mūthōidós)  νηρῐτόμῡθος ‎(nēritómūthos)  πᾰρᾰμῡθέομαι ‎(paramūthéomai)  περισσόμῡθος ‎(perissómūthos)  ποικῐλόμῡθος ‎(poikilómūthos)  πολύμῡθος ‎(polúmūthos)  σεμνομῡθέω ‎(semnomūthéō)  σπουδαιόμῡθος ‎(spoudaiómūthos)  στῐχομῡθέω ‎(stikhomūthéō)  στοιχομῡθέω ‎(stoikhomūthéō)  τᾰχύμῡθος ‎(takhúmūthos)  ὑστερόμῡθος ‎(husterómūthos)  φῐλόμῡθος ‎(philómūthos)
μῡθᾰ́ρῐον ‎(mūthárion)  μῡθέομαι ‎(mūthéomai)  μῡθεύω ‎(mūtheúō)  μῡθητής ‎(mūthētḗs)  μῡθιάζομαι ‎(mūthiázomai),,μῡθῐ́δῐον ‎(mūthídion)  μῡθῐ́ζω ‎(mūthízō)  μῡθῐήτης ‎(mūthiḗtēs)  μῡθῐκός ‎(mūthikós),,μῡθόομαι ‎(mūthóomai)  μῡθῠ́δρῐον ‎(mūthúdrion)  μῡθώδης ‎(mūthṓdēs)  μῡθωδῐκός ‎(mūthōdikós)
