0,1,2,3,4,5,6,7,8,9,10,11
Number,Singular,,Dual,,Plural,,,,,,
Case/Gender,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter,,Masculine,Feminine,Neuter
Nominative,ῐ̔στᾱ́ς,ῐ̔στᾶσᾰ,ῐ̔στᾰ́ν,,ῐ̔στᾰ́ντε,ῐ̔στᾱ́σᾱ,ῐ̔στᾰ́ντε,,ῐ̔στᾰ́ντες,ῐ̔στᾶσαι,ῐ̔στᾰ́ντᾰ
Genitive,ῐ̔στᾰ́ντος,ῐ̔στᾱ́σης,ῐ̔στᾰ́ντος,,ῐ̔στᾰ́ντοιν,ῐ̔στᾱ́σαιν,ῐ̔στᾰ́ντοιν,,ῐ̔στᾰ́ντων,ῐ̔στᾱσῶν,ῐ̔στᾰ́ντων
Dative,ῐ̔στᾰ́ντῐ,ῐ̔στᾱ́σῃ,ῐ̔στᾰ́ντῐ,,ῐ̔στᾰ́ντοιν,ῐ̔στᾱ́σαιν,ῐ̔στᾰ́ντοιν,,ῐ̔στᾶσῐ,ῐ̔στᾱ́σαις,ῐ̔στᾶσῐ
Accusative,ῐ̔στᾰ́ντᾰ,ῐ̔στᾶσᾰν,ῐ̔στᾰ́ν,,ῐ̔στᾰ́ντε,ῐ̔στᾱ́σᾱ,ῐ̔στᾰ́ντε,,ῐ̔στᾰ́ντᾰς,ῐ̔στᾱ́σᾱς,ῐ̔στᾰ́ντᾰ
Vocative,ῐ̔στᾱ́ς,ῐ̔στᾶσᾰ,ῐ̔στᾰ́ν,,ῐ̔στᾰ́ντε,ῐ̔στᾱ́σᾱ,ῐ̔στᾰ́ντε,,ῐ̔στᾰ́ντες,ῐ̔στᾶσαι,ῐ̔στᾰ́ντᾰ
Derived forms,Adverb,,Comparative,,Superlative,,,,,,
ῐ̔στᾰ́ντως,,-,,-,,,,,,,
Notes:,"This table gives Attic inflectional endings. For declension in dialects other than Attic, see Appendix:Ancient Greek dialectal declension.",,,,,,,,,,
