0,1,2,3,4,5
,Present »,Imperfect »,Continuous future »,Subjunctive »,Imperative »
1s,είμαι,ήμουν / ήμουνα2,θα είμαι,να είμαι,
2s,είσαι,ήσουν / ήσουνα2,θα είσαι,να είσαι,—
3s,είναι,ήταν / ήτανε2,θα είναι,να είναι,
,,,,,
1p,είμαστε1,ήμαστε / ήμασταν3,θα είμαστε,να είμαστε,
2p,είστε / είσαστε,ήσαστε / ήσασταν3,θα είστε /είσαστε,να είστε /είσαστε,—
3p,είναι,ήταν / ήτανε2 / ήσαν / ήσανε4,θα είναι,να είναι,
,,,,,
,Participle:,όντας,,,
,,,,,
,"1. There is a dated alternative 1st person plural present form είμεθα.2. The second, vowel-terminated, imperfect form is used informally.3. The present & imperfect forms are orally identical, the alternative imperfect forms can be used were differentiation is necessary.4. The imperfect forms ήταν and ήτανε have the dated alternatives ήσαν and ήσανε.",,,,
,,,,,
