0,1,2,3,4
,Non-past tenses,Past tenses,,
Imperfective,Present,Continuous future,Imperfect,
1st person,sg,χτίζομαι,θα χτίζομαι,"χτιζόμουν, χτιζόμουνα"
2nd person,χτίζεσαι,θα χτίζεσαι,"χτιζόσουν, χτιζόσουνα",
3rd person,χτίζεται,θα χτίζεται,"χτιζόταν, χτιζότανε",
1st person,pl,χτιζόμαστε,θα χτιζόμαστε,"χτιζόμασταν, χτιζόμαστε2"
2nd person,"χτίζεστε, χτιζόσαστε1","θα χτίζεστε, χτιζόσαστε1","χτιζόσασταν, χτιζόσαστε2",
3rd person,χτίζονται,θα χτίζονται,"χτίζονταν, χτιζόντανε, χτιζόντουσαν",
,,,,
Perfective,Dependent†,Simple future,Simple past (Aorist),
1st person,sg,χτιστώ,θα χτιστώ,χτίστηκα
2nd person,χτιστείς,θα χτιστείς,χτίστηκες,
3rd person,χτιστεί,θα χτιστεί,χτίστηκε,
1st person,pl,χτιστούμε,θα χτιστούμε,χτιστήκαμε
2nd person,χτιστείτε,θα χτιστείτε,χτιστήκατε,
3rd person,"χτιστούν, χτιστούνε","θα χτιστούν, θα χτιστούνε","χτίστηκαν, χτιστήκανε",
,,,,
Imperative,Imperfective,Perfective,,
2nd person,sg,—3,χτίσου,
2nd person,pl,—3,χτιστείτε,
,,,,
Perfect tenses,,,,
Perfect,"έχω χτιστεί, έχεις χτιστεί έχει χτιστεί, …",,,
Future perfect,"θα έχω χτιστεί, θα έχεις χτιστεί, θα έχει χτιστεί, …",,,
Past perfect,"είχα χτιστεί, είχες χτιστεί, είχε χτιστεί, …",,,
,,,,
Subjunctive,,,,
Continuous,"The present tense form preceded by να, ας, etc",,,
Simple,"The dependent form preceded by να, ας, etc",,,
Past perfect,"The perfect tense form preceded by να, ας, etc",,,
,,,,
When multiple forms are listed above the first will usually be the most common; additional forms may be rare and not given by all sources.,,,,
"†  The dependent form is not used independently, negative and tense forms of the verb are produced when the dependent is preceded by the appropriate particle.     The dependent 3rd person singular, the non-finite form, is used with the auxiliary verb έχω in the most common perfect tense forms.1. Colloquial forms2. Identical to present tense form3. The existance of these forms is doubtful",,,,
,,,,
