0,1,2,3,4,5
Root,,,,,
שׂ־ר־ף,,,,,
non-finite forms,to-infinitive: לשרוף \ לִשְׂרֹף,,,,
finite forms,masculinesingular,femininesingular,masculineplural,feminineplural,
past,first person,שָׂרַפְתִּי,שָׂרַפְנוּ,,
second person,שָׂרַפְתָּ,שָׂרַפְתְּ,שְׂרַפְתֶּם 1,"שְׂרַפְתֶּן 1, 2",
third person,שָׂרַף,שָׂרְפָה,שָׂרְפוּ,,
present,all persons,שׂוֹרֵף,שׂוֹרֶפֶת,שׂוֹרְפִים,שׂוֹרְפוֹת
future,first person,אשרוף \ אֶשְׂרֹף,נשרוף \ נִשְׂרֹף,,
second person,תשרוף \ תִּשְׂרֹף,תִּשְׂרְפִי,תִּשְׂרְפוּ,תשרופנה \ תִּשְׂרֹפְנָה 3,
third person,ישרוף \ יִשְׂרֹף,תשרוף \ תִּשְׂרֹף,יִשְׂרְפוּ,תשרופנה \ תִּשְׂרֹפְנָה 3,
imperative,second person,שרוף \ שְׂרֹף,שִׂרְפִי,שִׂרְפוּ,שרופנה \ שְׂרֹפְנָה 3
notes,"Pronounced שָׂרַפְתֶּם/ן in modern informal Hebrew  Uncommon in modern informal Hebrew, but used in formal speech and writing.  Uncommon in modern Hebrew.",,,,
