0,1,2,3,4,5,6
Root,,,,,,
שׁ־ו־ב,,,,,,
Number,Isolated forms,With possessive pronouns,,,,
State,Form,Person,singular,plural,,
m.,f.,m.,f.,,,
singular,indefinite,תְּשׁוּבָה,first,תְּשׁוּבָתִי,תְּשׁוּבָתֵנוּ,
definite,הַתְּשׁוּבָה,second,תְּשׁוּבָתְךָ,תְּשׁוּבָתֵךְ,תְּשׁוּבַתְכֶם,תְּשׁוּבַתְכֶן
construct,תְּשׁוּבַת־,third,תְּשׁוּבָתוֹ,תְּשׁוּבָתָהּ,תְּשׁוּבָתָם,תְּשׁוּבָתָן
plural,indefinite,תְּשׁוּבוֹת,first,תשובותיי \ תְּשׁוּבוֹתַי,תְּשׁוּבוֹתֵינוּ,
definite,הַתְּשׁוּבוֹת,second,תְּשׁוּבוֹתֶיךָ,תשובותייך \ תְּשׁוּבוֹתַיִךְ,תְּשׁוּבוֹתֵיכֶם,תְּשׁוּבוֹתֵיכֶן
construct,תְּשׁוּבוֹת־,third,תְּשׁוּבוֹתָיו,תְּשׁוּבוֹתֶיהָ,תְּשׁוּבוֹתֵיהֶם,תְּשׁוּבוֹתֵיהֶן
