0,1,2,3,4
Declension of नीला,,,,
,singular,plural,,
direct,नीला ‎(nīlā),नीले ‎(nīle),,
oblique,नीले ‎(nīle),नीलों ‎(nīlõ),,
vocative,नीले ‎(nīle),नीलो ‎(nīlo),,
Declension of नीला,,,,
,masculine,,feminine,
,singular,plural,singular,plural
direct,नीला ‎(nīlā),नीले ‎(nīle),नीली ‎(nīlī),नीली ‎(nīlī)
indirect,नीले ‎(nīle),नीले ‎(nīle),नीली ‎(nīlī),नीली ‎(nīlī)
vocative,नीले ‎(nīle),नीले ‎(nīle),नीली ‎(nīlī),नीली ‎(nīlī)
Colors in Hindi · रंग ‎(raṅg) (layout · text),,,,
लाल ‎(lāl),हरा ‎(harā),पीला ‎(pīlā),?,सफ़ेद ‎(safed)
?,रानी ‎(rānī),?,लाइम ‎(lāim),गुलाबी ‎(gulābī)
नील ‎(nīl),"नीला ‎(nīlā), नील ‎(nīl)",नारंगी ‎(nāraṅgī),धूसर ‎(dhūsar),?
काला ‎(kālā),बैंगनी ‎(baiṅgnī),भूरा ‎(bhūrā),?,"आसमानी ‎(āsmānī), क्यान ‎(kyān)"
