0,1,2,3,4,5,6,7
Hindi verb set,,,,,,,
बिखराना ‎(bikhrānā),,,,,,,
Conjugation of बिखरना ‎(bikharnā),,,,,,,
Note: Hover mouse over Devānagārī or dot • for Latin-alphabet transliterations.,,,,,,,
,,,,,,,
infinitive,direct,बिखरना •,,,,,
indirect,बिखरने •,,,,,,
Note: Hover mouse over Devnāgrī for Latin-alphabet transliterations.,,,,,,,
,,,,,,,
singular,तू,बिखर •,,,,,
,,,,,,,
singular or plural,तुम,बिखरो •,,,,,
आप,बिखरिए •,,,,,,
Note: Hover mouse over Devnāgrī for Latin-alphabet transliterations.,,,,,,,
,,,,,,,
conjunctive,"बिखरकर, बिखरके •",,,,,,
agentive / prospective,बिखरनेवाला •,,,,,,
Note: Hover mouse over Devnāgrī or dot • for Latin-alphabet transliterations.,,,,,,,
,,,,,,,
,singular,plural,,,,,
masculine,बिखरता •,बिखरते •,,,,,
feminine,बिखरती •,बिखरती •,,,,,
Note: Hover mouse over Devnāgrī or dot • for Latin-alphabet transliterations.,,,,,,,
,,,,,,,
,singular,plural,,,,,
masculine,बिखरा •,बिखरे •,,,,,
feminine,बिखरी •,बिखरी •,,,,,
Note: Hover mouse over Devnāgrī or dot • for Latin-alphabet transliterations.,,,,,,,
,,,,,,,
,singular,plural,,,,,
1st person,मैं बिखरूँ •,हम बिखरें •,,,,,
2nd person,तू बिखरे •,तुम बिखरो •,,,,,
3rd person,यह बिखरे •,ये बिखरें •,,,,,
Note: Hover mouse over Devnāgrī or dot • for Latin-alphabet transliterations.,,,,,,,
,,,,,,,
,masculine,,feminine,,,,
,singular,plural,singular,plural,,,
1st person,मैं बिखरूँगा •,हम बिखरेंगे •,मैं बिखरूँगी •,हम बिखरेंगी •,,,
2nd person,तू बिखरेगा •,तुम बिखरोगे •,तू बिखरेगी •,तुम बिखरोगी •,,,
3rd person,यह बिखरेगा •,ये बिखरेंगे •,यह बिखरेगी •,ये बिखरेंगी •,,,
Note: Hover mouse over Devnāgrī or dot • for Latin-alphabet transliterations.,,,,,,,
,,,,,,,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person*,3rd person,
,,मैं,तू,ये,हम,तुम,ये
habitual,present,बिखरता हूँ •,बिखरता है •,बिखरता है •,बिखरते हैं •,बिखरते हो •,बिखरते हैं •
past,बिखरता था •,बिखरता था •,बिखरता था •,बिखरते थे •,बिखरते थे •,बिखरते थे •,
subjunctive,बिखरता हूँ •,बिखरता हो •,बिखरता हो •,बिखरते हों •,बिखरते हो •,बिखरते हों •,
presumptive,बिखरता हूँगा •,बिखरता होगा •,बिखरता होगा •,बिखरते होंगे •,बिखरते होगे •,बिखरते होंगे •,
contrafactual,बिखरता होता •,बिखरता होता •,बिखरता होता •,बिखरते होते •,बिखरते होते •,बिखरते होते •,
,,,,,,,
continuous,present,बिखर रहा हूँ •,बिखर रहा है •,बिखर रहा है •,बिखर रहे हैं •,बिखर रहे हो •,बिखर रहे हैं •
past,बिखर रहा था •,बिखर रहा था •,बिखर रहा था •,बिखर रहे थे •,बिखर रहे थे •,बिखर रहे थे •,
subjunctive,बिखर रहा हूँ •,बिखर रहा हो •,बिखर रहा हो •,बिखर रहे हों •,बिखर रहे हो •,बिखर रहे हों •,
presumptive,बिखर रहा हूँगा •,बिखर रहा होगा •,बिखर रहा होगा •,बिखर रहे होंगे •,बिखर रहे होगे •,बिखर रहे होंगे •,
contrafactual,बिखर रहा होता •,बिखर रहा होता •,बिखर रहा होता •,बिखर रहे होते •,बिखर रहे होते •,बिखर रहे होते •,
,,,,,,,
perfective,present,बिखरा हूँ •,बिखरा है •,बिखरा है •,बिखरे हैं •,बिखरे हो •,बिखरे हैं •
past,बिखरा था •,बिखरा था •,बिखरा था •,बिखरे थे •,बिखरे थे •,बिखरे थे •,
subjunctive,बिखरा हूँ •,बिखरा हो •,बिखरा हो •,बिखरे हों •,बिखरे हो •,बिखरे हों •,
presumptive,बिखरा हूँगा •,बिखरा होगा •,बिखरा होगा •,बिखरे होंगे •,बिखरे होगे •,बिखरे होंगे •,
contrafactual,बिखरा होता •,बिखरा होता •,बिखरा होता •,बिखरे होते •,बिखरे होते •,बिखरे होते •,
Note: Hover mouse over Devnāgrī or dot • for Latin-alphabet transliterations.,,,,,,,
,,,,,,,
,singular,plural,,,,,
,1st person,2nd person,3rd person,1st person,2nd person*,3rd person,
,,मैं,तू,ये,हम,तुम,ये
habitual,present,बिखरती हूँ •,बिखरती है •,बिखरती है •,बिखरती हैं •,बिखरती हो •,बिखरती हैं •
past,बिखरती थी •,बिखरती थी •,बिखरती थी •,बिखरती थीं •,बिखरती थीं •,बिखरती थीं •,
subjunctive,बिखरती हूँ •,बिखरती हो •,बिखरती हो •,बिखरती हों •,बिखरती हो •,बिखरती हों •,
presumptive,बिखरती हूँगी •,बिखरती होगी •,बिखरती होगी •,बिखरती होंगी •,बिखरती होगी •,बिखरती होंगी •,
contrafactual,बिखरती होती •,बिखरती होती •,बिखरती होती •,बिखरती होती •,बिखरती होती •,बिखरती होती •,
,,,,,,,
continuous,present,बिखर रही हूँ •,बिखर रही है •,बिखर रही है •,बिखर रही हैं •,बिखर रही हो •,बिखर रही हैं •
past,बिखर रही थी •,बिखर रही थी •,बिखर रही थी •,बिखर रही थीं •,बिखर रही थीं •,बिखर रही थीं •,
subjunctive,बिखर रही हूँ •,बिखर रही हो •,बिखर रही हो •,बिखर रही हों •,बिखर रही हो •,बिखर रही हों •,
presumptive,बिखर रही हूँगी •,बिखर रही होगी •,बिखर रही होगी •,बिखर रही होंगी •,बिखर रही होगी •,बिखर रही होंगी •,
contrafactual,बिखर रही होती •,बिखर रही होती •,बिखर रही होती •,बिखर रही होती •,बिखर रही होती •,बिखर रही होती •,
,,,,,,,
perfective,present,बिखरी हूँ •,बिखरी है •,बिखरी है •,बिखरी हैं •,बिखरी हो •,बिखरी हैं •
past,बिखरी थी •,बिखरी थी •,बिखरी थी •,बिखरी थीं •,बिखरी थीं •,बिखरी थीं •,
