0,1,2,3,4,5,6,7,8
Audio,,(file),,,,,,
Infinitive,óni,,,,,,,
Past participle,ótt,,,,,,,
Present participle,óvó,,,,,,,
Future participle,óvandó,,,,,,,
Adverbial participle,óva,,,,,,,
Potential,óhat,,,,,,,
,1st person sg,2nd person sg informal,"3rd person sg,2nd person sg formal",1st person pl,2nd person pl informal,"3rd person pl,2nd person pl formal",,
Indicative Mood,Present,Indefinite,óvok,ósz,ó,óvunk,óttok,ónak
Definite,óvom én téged/titeketólak,óvod,ója,ójuk,ójátok,óják,,
Past,Indefinite,óttam,óttál,ótt,óttunk,óttatok,óttak,
Definite,óttamén téged/titeketóttalak,óttad,ótta,óttuk,óttátok,ótták,,
Conditional Mood,Present,Indefinite,ónék,ónál,óna,ónánk,ónátok,ónának
Definite,ónámén téged/titeketónálak,ónád,óná,ónánk,ónátok,ónák,,
Subjunctive Mood,Present,Indefinite,ójak,ójorójál,ójon,ójunk,ójatok,ójanak
Definite,ójamén téged/titeketójalak,óddorójad,ója,ójuk,ójátok,óják,,
Conjugated Infinitive,ónom,ónod,ónia,ónunk,ónotok,óniuk,,
