0,1,2,3,4
"Inflection (stem in long/high vowel, back harmony)",,,,
,singular,plural,,
nominative,sárga,sárgák,,
accusative,sárgát,sárgákat,,
dative,sárgának,sárgáknak,,
instrumental,sárgával,sárgákkal,,
causal-final,sárgáért,sárgákért,,
translative,sárgává,sárgákká,,
terminative,sárgáig,sárgákig,,
essive-formal,sárgaként,sárgákként,,
essive-modal,—,—,,
inessive,sárgában,sárgákban,,
superessive,sárgán,sárgákon,,
adessive,sárgánál,sárgáknál,,
illative,sárgába,sárgákba,,
sublative,sárgára,sárgákra,,
allative,sárgához,sárgákhoz,,
elative,sárgából,sárgákból,,
delative,sárgáról,sárgákról,,
ablative,sárgától,sárgáktól,,
Colors in Hungarian · színek (layout · text),,,,
"piros, vörös",zöld,sárga,"krémszínű, csontszínű",fehér
karmazsin,bíbor,zöldeskék,?,rózsaszín
indigó,kék,narancssárga,szürke,ibolya
fekete,lila,barna,"azúrkék, égszínkék",cián
