0,1,2,3,4,5,6
Audio,,(file),,,,
"Inflection (stem in -e-, front unrounded harmony)",,,,,,
,singular,plural,,,,
nominative,fehér,fehérek,,,,
accusative,fehéret,fehéreket,,,,
dative,fehérnek,fehéreknek,,,,
instrumental,fehérrel,fehérekkel,,,,
causal-final,fehérért,fehérekért,,,,
translative,fehérré,fehérekké,,,,
terminative,fehérig,fehérekig,,,,
essive-formal,fehérként,fehérekként,,,,
essive-modal,—,—,,,,
inessive,fehérben,fehérekben,,,,
superessive,fehéren,fehéreken,,,,
adessive,fehérnél,fehéreknél,,,,
illative,fehérbe,fehérekbe,,,,
sublative,fehérre,fehérekre,,,,
allative,fehérhez,fehérekhez,,,,
elative,fehérből,fehérekből,,,,
delative,fehérről,fehérekről,,,,
ablative,fehértől,fehérektől,,,,
fehérarany  fehérbor,,fehérnemű  Fehér-tenger,,fehérvérű  fehérvérűség,,fekete-fehér  hófehér
Possessive forms of fehér,,,,,,
possessor,single possession,multiple possessions,,,,
1st person sing.,fehérem,fehérjeim,,,,
2nd person sing.,fehéred,fehérjeid,,,,
3rd person sing.,fehérje,fehérjei,,,,
1st person plural,fehérünk,fehérjeink,,,,
2nd person plural,fehéretek,fehérjeitek,,,,
3rd person plural,fehérjük,fehérjeik,,,,
Colors in Hungarian · színek (layout · text),,,,,,
"piros, vörös",zöld,sárga,"krémszínű, csontszínű",fehér,,
karmazsin,bíbor,zöldeskék,?,rózsaszín,,
indigó,kék,narancssárga,szürke,ibolya,,
fekete,lila,barna,"azúrkék, égszínkék",cián,,
