0,1,2,3,4,5,6
"Inflection (stem in -o-, back harmony)",,,,,,
,singular,plural,,,,
nominative,búvár,búvárok,,,,
accusative,búvárt,búvárokat,,,,
dative,búvárnak,búvároknak,,,,
instrumental,búvárral,búvárokkal,,,,
causal-final,búvárért,búvárokért,,,,
translative,búvárrá,búvárokká,,,,
terminative,búvárig,búvárokig,,,,
essive-formal,búvárként,búvárokként,,,,
essive-modal,—,—,,,,
inessive,búvárban,búvárokban,,,,
superessive,búváron,búvárokon,,,,
adessive,búvárnál,búvároknál,,,,
illative,búvárba,búvárokba,,,,
sublative,búvárra,búvárokra,,,,
allative,búvárhoz,búvárokhoz,,,,
elative,búvárból,búvárokból,,,,
delative,búvárról,búvárokról,,,,
ablative,búvártól,búvároktól,,,,
Possessive forms of búvár,,,,,,
possessor,single possession,multiple possessions,,,,
1st person sing.,búvárom,búváraim,,,,
2nd person sing.,búvárod,búváraid,,,,
3rd person sing.,búvára,búvárai,,,,
1st person plural,búvárunk,búváraink,,,,
2nd person plural,búvárotok,búváraitok,,,,
3rd person plural,búváruk,búváraik,,,,
Possessive forms of búvár,,,,,,
possessor,single possession,multiple possessions,,,,
1st person sing.,búvárom,búvárjaim,,,,
2nd person sing.,búvárod,búvárjaid,,,,
3rd person sing.,búvárja,búvárjai,,,,
1st person plural,búvárunk,búvárjaink,,,,
2nd person plural,búvárotok,búvárjaitok,,,,
3rd person plural,búvárjuk,búvárjaik,,,,
búvárfelszerelés  búvárharang,,búvármadár  búvárruha,,búvársisak  búvárszemüveg,,búvárúszás  természetbúvár
