0,1,2,3,4
Audio,,(file),,
"Inflection (stem in -e-, front unrounded harmony)",,,,
,singular,plural,,
nominative,film,filmek,,
accusative,filmet,filmeket,,
dative,filmnek,filmeknek,,
instrumental,filmmel,filmekkel,,
causal-final,filmért,filmekért,,
translative,filmmé,filmekké,,
terminative,filmig,filmekig,,
essive-formal,filmként,filmekként,,
essive-modal,—,—,,
inessive,filmben,filmekben,,
superessive,filmen,filmeken,,
adessive,filmnél,filmeknél,,
illative,filmbe,filmekbe,,
sublative,filmre,filmekre,,
allative,filmhez,filmekhez,,
elative,filmből,filmekből,,
delative,filmről,filmekről,,
ablative,filmtől,filmektől,,
Possessive forms of film,,,,
possessor,single possession,multiple possessions,,
1st person sing.,filmem,filmjeim,,
2nd person sing.,filmed,filmjeid,,
3rd person sing.,filmje,filmjei,,
1st person plural,filmünk,filmjeink,,
2nd person plural,filmetek,filmjeitek,,
3rd person plural,filmjük,filmjeik,,
akciófilm  dokumentumfilm  filmfesztivál  filmgyártás,,filmkritika  filmművészet  filmpremier  filmszínész,,filmsztár  játékfilm  pornófilm  werkfilm
