0,1,2
"Inflection (stem in -a-, back harmony)",,
,singular,plural
nominative,garantált,garantáltak
accusative,garantáltat,garantáltakat
dative,garantáltnak,garantáltaknak
instrumental,garantálttal,garantáltakkal
causal-final,garantáltért,garantáltakért
translative,garantálttá,garantáltakká
terminative,garantáltig,garantáltakig
essive-formal,garantáltként,garantáltakként
essive-modal,—,—
inessive,garantáltban,garantáltakban
superessive,garantálton,garantáltakon
adessive,garantáltnál,garantáltaknál
illative,garantáltba,garantáltakba
sublative,garantáltra,garantáltakra
allative,garantálthoz,garantáltakhoz
elative,garantáltból,garantáltakból
delative,garantáltról,garantáltakról
ablative,garantálttól,garantáltaktól
