0,1,2,3,4,5,6,7,8
Audio,,(file),,,,,,
Infinitive,gratulálni,,,,,,,
Past participle,gratulált,,,,,,,
Present participle,gratuláló,,,,,,,
Future participle,-,,,,,,,
Adverbial participle,gratulálva,,,,,,,
Potential,gratulálhat,,,,,,,
,1st person sg,2nd person sg informal,"3rd person sg,2nd person sg formal",1st person pl,2nd person pl informal,"3rd person pl,2nd person pl formal",,
Indicative Mood,Present,Indefinite,gratulálok,gratulálsz,gratulál,gratulálunk,gratuláltok,gratulálnak
Definite,"intransitive verb, definite forms are not used",,,,,,,
Past,Indefinite,gratuláltam,gratuláltál,gratulált,gratuláltunk,gratuláltatok,gratuláltak,
Definite,-,,,,,,,
Conditional Mood,Present,Indefinite,gratulálnék,gratulálnál,gratulálna,gratulálnánk,gratulálnátok,gratulálnának
Definite,-,,,,,,,
Subjunctive Mood,Present,Indefinite,gratuláljak,gratuláljorgratuláljál,gratuláljon,gratuláljunk,gratuláljatok,gratuláljanak
Definite,-,,,,,,,
Conjugated Infinitive,gratulálnom,gratulálnod,gratulálnia,gratulálnunk,gratulálnotok,gratulálniuk,,
