0,1,2,3
fær í flestan sjó  sveltur sitjandi kráka en fljúgandi fær  vanfær  vera allir vegir færir,,vera fær í  vera fær um  vera öllum fært,
singular,masculine,feminine,neuter
nominative,fær,fær,fært
accusative,færan,færa,fært
dative,færum,færri,færu
genitive,færs,færrar,færs
plural,masculine,feminine,neuter
nominative,færir,færar,fær
accusative,færa,færar,fær
dative,færum,færum,færum
genitive,færra,færra,færra
singular,masculine,feminine,neuter
nominative,færi,færa,færa
accusative,færa,færu,færa
dative,færa,færu,færa
genitive,færa,færu,færa
plural,masculine,feminine,neuter
nominative,færu,færu,færu
accusative,færu,færu,færu
dative,færu,færu,færu
genitive,færu,færu,færu
singular,masculine,feminine,neuter
nominative,færari,færari,færara
accusative,færari,færari,færara
dative,færari,færari,færara
genitive,færari,færari,færara
plural,masculine,feminine,neuter
nominative,færari,færari,færari
accusative,færari,færari,færari
dative,færari,færari,færari
genitive,færari,færari,færari
singular,masculine,feminine,neuter
nominative,færastur,færust,færast
accusative,færastan,færasta,færast
dative,færustum,færastri,færustu
genitive,færasts,færastrar,færasts
plural,masculine,feminine,neuter
nominative,færastir,færastar,færust
accusative,færasta,færastar,færust
dative,færustum,færustum,færustum
genitive,færastra,færastra,færastra
singular,masculine,feminine,neuter
nominative,færasti,færasta,færasta
accusative,færasta,færustu,færasta
dative,færasta,færustu,færasta
genitive,færasta,færustu,færasta
plural,masculine,feminine,neuter
nominative,færustu,færustu,færustu
accusative,færustu,færustu,færustu
dative,færustu,færustu,færustu
genitive,færustu,færustu,færustu
