0,1,2,3,4
singular,masculine,feminine,neuter,
nominative,strjáll,strjál,strjált,
accusative,strjálan,strjála,strjált,
dative,strjálum,strjálli,strjálu,
genitive,strjáls,strjállar,strjáls,
plural,masculine,feminine,neuter,
nominative,strjálir,strjálar,strjál,
accusative,strjála,strjálar,strjál,
dative,strjálum,strjálum,strjálum,
genitive,strjálla,strjálla,strjálla,
singular,masculine,feminine,neuter,
nominative,strjáli,strjála,strjála,
accusative,strjála,strjálu,strjála,
dative,strjála,strjálu,strjála,
genitive,strjála,strjálu,strjála,
plural,masculine,feminine,neuter,
nominative,strjálu,strjálu,strjálu,
accusative,strjálu,strjálu,strjálu,
dative,strjálu,strjálu,strjálu,
genitive,strjálu,strjálu,strjálu,
singular,masculine,feminine,neuter,
nominative,strjálli,strjálli,strjálla,
accusative,strjálli,strjálli,strjálla,
dative,strjálli,strjálli,strjálla,
genitive,strjálli,strjálli,strjálla,
plural,masculine,feminine,neuter,
nominative,strjálli,strjálli,strjálli,
accusative,strjálli,strjálli,strjálli,
dative,strjálli,strjálli,strjálli,
genitive,strjálli,strjálli,strjálli,
singular,masculine,feminine,neuter,
nominative,strjálastur,strjálust,strjálast,
accusative,strjálastan,strjálasta,strjálast,
dative,strjálustum,strjálastri,strjálustu,
genitive,strjálasts,strjálastrar,strjálasts,
plural,masculine,feminine,neuter,
nominative,strjálastir,strjálastar,strjálust,
accusative,strjálasta,strjálastar,strjálust,
dative,strjálustum,strjálustum,strjálustum,
genitive,strjálastra,strjálastra,strjálastra,
singular,masculine,feminine,neuter,
nominative,strjálasti,strjálasta,strjálasta,
accusative,strjálasta,strjálustu,strjálasta,
dative,strjálasta,strjálustu,strjálasta,
genitive,strjálasta,strjálustu,strjálasta,
plural,masculine,feminine,neuter,
nominative,strjálustu,strjálustu,strjálustu,
accusative,strjálustu,strjálustu,strjálustu,
dative,strjálustu,strjálustu,strjálustu,
genitive,strjálustu,strjálustu,strjálustu,
"óstrjáll (non-discrete)  strjála (discretize)  strjál bestun (combinatorial programming, discrete programming)  strjál breyta (discrete variable)  strjál dreifing (arithmetic distribution, discrete distribution)  strjál hending (discrete random variable)",,strjáll tími (discrete time)  strjál stærðfræði (discrete mathematics)  strjált dreifingarfall (discrete distribution function)  strjált ferli (discrete process)  strjált grannmynstur (discrete topology),,strjált róf (discrete spectrum)  strjált rúm (discrete space)  strjált streymi (discrete flow)  strjálunarskekkja (discretization error)  strjálun (discretization)
