0,1,2,3
heill á geði  heill á húfi (safe and sound)  heill og sæll (welcome!)  heil tala (an integer),,heilu og höldnu (safe and sound)  með heilum hug  ráða heilt (to give sound advice)  taka aldrei á heilum sér (to be always in bad health),
singular,masculine,feminine,neuter
nominative,heill,heil,heilt
accusative,heilan,heila,heilt
dative,heilum,heilli,heilu
genitive,heils,heillar,heils
plural,masculine,feminine,neuter
nominative,heilir,heilar,heil
accusative,heila,heilar,heil
dative,heilum,heilum,heilum
genitive,heilla,heilla,heilla
singular,masculine,feminine,neuter
nominative,heili,heila,heila
accusative,heila,heilu,heila
dative,heila,heilu,heila
genitive,heila,heilu,heila
plural,masculine,feminine,neuter
nominative,heilu,heilu,heilu
accusative,heilu,heilu,heilu
dative,heilu,heilu,heilu
genitive,heilu,heilu,heilu
singular,masculine,feminine,neuter
nominative,heilli,heilli,heilla
accusative,heilli,heilli,heilla
dative,heilli,heilli,heilla
genitive,heilli,heilli,heilla
plural,masculine,feminine,neuter
nominative,heilli,heilli,heilli
accusative,heilli,heilli,heilli
dative,heilli,heilli,heilli
genitive,heilli,heilli,heilli
singular,masculine,feminine,neuter
nominative,heilastur,heilust,heilast
accusative,heilastan,heilasta,heilast
dative,heilustum,heilastri,heilustu
genitive,heilasts,heilastrar,heilasts
plural,masculine,feminine,neuter
nominative,heilastir,heilastar,heilust
accusative,heilasta,heilastar,heilust
dative,heilustum,heilustum,heilustum
genitive,heilastra,heilastra,heilastra
singular,masculine,feminine,neuter
nominative,heilasti,heilasta,heilasta
accusative,heilasta,heilustu,heilasta
dative,heilasta,heilustu,heilasta
genitive,heilasta,heilustu,heilasta
plural,masculine,feminine,neuter
nominative,heilustu,heilustu,heilustu
accusative,heilustu,heilustu,heilustu
dative,heilustu,heilustu,heilustu
genitive,heilustu,heilustu,heilustu
