0,1,2,3,4,5,6
infinitive (nafnháttur),að slétta,,,,,
supine (sagnbót),slétt,,,,,
present participle (lýsingarháttur nútíðar),sléttandi,,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,,
present (nútíð),ég slétti,við sléttum,present (nútíð),ég slétti,við sléttum,
þú sléttir,þið sléttið,þú sléttir,þið sléttið,,,
"hann, hún, það sléttir","þeir, þær, þau slétta","hann, hún, það slétti","þeir, þær, þau slétti",,,
,,,,,,
past (þátíð),ég slétti,við sléttum,past (þátíð),ég slétti,við sléttum,
þú sléttir,þið sléttuð,þú sléttir,þið sléttuð,,,
"hann, hún, það slétti","þeir, þær, þau sléttu","hann, hún, það slétti","þeir, þær, þau sléttu",,,
,,,,,,
imperative (boðháttur),slétt (þú),sléttið (þið),,,,
Forms with appended personal pronoun,,,,,,
sléttu,sléttiði *,,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,,
infinitive (nafnháttur),að sléttast,,,,,
supine (sagnbót),slést,,,,,
present participle (lýsingarháttur nútíðar),"sléttandist ** ** the mediopassive present participle is extremely rare and normally not used; it is never used attributively or predicatively, only for explicatory subclauses",,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,,
present (nútíð),ég sléttist,við sléttumst,present (nútíð),ég sléttist,við sléttumst,
þú sléttist,þið sléttist,þú sléttist,þið sléttist,,,
"hann, hún, það sléttist","þeir, þær, þau sléttast","hann, hún, það sléttist","þeir, þær, þau sléttist",,,
,,,,,,
past (þátíð),ég sléttist,við sléttumst,past (þátíð),ég sléttist,við sléttumst,
þú sléttist,þið sléttust,þú sléttist,þið sléttust,,,
"hann, hún, það sléttist","þeir, þær, þau sléttust","hann, hún, það sléttist","þeir, þær, þau sléttust",,,
,,,,,,
imperative (boðháttur),slést (þú),sléttist (þið),,,,
Forms with appended personal pronoun,,,,,,
sléstu,sléttisti *,,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,,
strong declension (sterk beyging),singular (eintala),,plural (fleirtala),,,
masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),
nominative (nefnifall),sléttur,slétt,slétt,sléttir,sléttar,slétt
accusative (þolfall),sléttan,slétta,slétt,slétta,sléttar,slétt
dative (þágufall),sléttum,sléttri,sléttu,sléttum,sléttum,sléttum
genitive (eignarfall),slétts,sléttrar,slétts,sléttra,sléttra,sléttra
,,,,,,
weak declension (veik beyging),singular (eintala),,plural (fleirtala),,,
masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),
nominative (nefnifall),slétti,slétta,slétta,sléttu,sléttu,sléttu
accusative (þolfall),slétta,sléttu,slétta,sléttu,sléttu,sléttu
dative (þágufall),slétta,sléttu,slétta,sléttu,sléttu,sléttu
genitive (eignarfall),slétta,sléttu,slétta,sléttu,sléttu,sléttu
infinitive (nafnháttur),að slétta,,,,,
supine (sagnbót),sléttað,,,,,
present participle (lýsingarháttur nútíðar),sléttandi,,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,,
present (nútíð),ég slétta,við sléttum,present (nútíð),ég slétti,við sléttum,
þú sléttar,þið sléttið,þú sléttir,þið sléttið,,,
"hann, hún, það sléttar","þeir, þær, þau slétta","hann, hún, það slétti","þeir, þær, þau slétti",,,
,,,,,,
past (þátíð),ég sléttaði,við sléttuðum,past (þátíð),ég sléttaði,við sléttuðum,
þú sléttaðir,þið sléttuðuð,þú sléttaðir,þið sléttuðuð,,,
"hann, hún, það sléttaði","þeir, þær, þau sléttuðu","hann, hún, það sléttaði","þeir, þær, þau sléttuðu",,,
,,,,,,
imperative (boðháttur),slétta (þú),sléttið (þið),,,,
Forms with appended personal pronoun,,,,,,
sléttaðu,sléttiði *,,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,,
infinitive (nafnháttur),að sléttast,,,,,
supine (sagnbót),sléttast,,,,,
present participle (lýsingarháttur nútíðar),"sléttandist ** ** the mediopassive present participle is extremely rare and normally not used; it is never used attributively or predicatively, only for explicatory subclauses",,,,,
,indicative (framsöguháttur),,subjunctive (viðtengingarháttur),,,
present (nútíð),ég sléttast,við sléttumst,present (nútíð),ég sléttist,við sléttumst,
þú sléttast,þið sléttist,þú sléttist,þið sléttist,,,
"hann, hún, það sléttast","þeir, þær, þau sléttast","hann, hún, það sléttist","þeir, þær, þau sléttist",,,
,,,,,,
past (þátíð),ég sléttaðist,við sléttuðumst,past (þátíð),ég sléttaðist,við sléttuðumst,
þú sléttaðist,þið sléttuðust,þú sléttaðist,þið sléttuðust,,,
"hann, hún, það sléttaðist","þeir, þær, þau sléttuðust","hann, hún, það sléttaðist","þeir, þær, þau sléttuðust",,,
,,,,,,
imperative (boðháttur),sléttast (þú),sléttist (þið),,,,
Forms with appended personal pronoun,,,,,,
sléttastu,sléttisti *,,,,,
"* Spoken form, usually not written; in writing, the unappended plural form (optionally followed by the full pronoun) is preferred.",,,,,,
strong declension (sterk beyging),singular (eintala),,plural (fleirtala),,,
masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),
nominative (nefnifall),sléttaður,sléttuð,sléttað,sléttaðir,sléttaðar,sléttuð
accusative (þolfall),sléttaðan,sléttaða,sléttað,sléttaða,sléttaðar,sléttuð
dative (þágufall),sléttuðum,sléttaðri,sléttuðu,sléttuðum,sléttuðum,sléttuðum
genitive (eignarfall),sléttaðs,sléttaðrar,sléttaðs,sléttaðra,sléttaðra,sléttaðra
,,,,,,
weak declension (veik beyging),singular (eintala),,plural (fleirtala),,,
masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),masculine (karlkyn),feminine (kvenkyn),neuter (hvorugkyn),
nominative (nefnifall),sléttaði,sléttaða,sléttaða,sléttuðu,sléttuðu,sléttuðu
accusative (þolfall),sléttaða,sléttuðu,sléttaða,sléttuðu,sléttuðu,sléttuðu
dative (þágufall),sléttaða,sléttuðu,sléttaða,sléttuðu,sléttuðu,sléttuðu
genitive (eignarfall),sléttaða,sléttuðu,sléttaða,sléttuðu,sléttuðu,sléttuðu
