0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,Singular,Plural (m/f),,,,,,,,,,,,,,,,,
Positive,Masculine,Feminine,(strong noun),(weak noun),,,,,,,,,,,,,,,
Nominative,dubh,dhubh,dubha;dhubha²,,,,,,,,,,,,,,,,
Vocative,dhuibh,dubha,,,,,,,,,,,,,,,,,
Genitive,duibhe,dubha,dubh,,,,,,,,,,,,,,,,
Dative,dubh;dhubh¹,dhubh;dhuibh (archaic),dubha;dhubha²,,,,,,,,,,,,,,,,
Comparative,níos duibhe,,,,,,,,,,,,,,,,,,
Superlative,is duibhe,,,,,,,,,,,,,,,,,,
"abhac dubh ‎(“black dwarf”)  béar dubh ‎(“black bear”)  ceanndubh ‎(“black-headed, black-haired; dappled”)  clár dubh ‎(“blackboard”)  dubh carbóin, dubh an charbóin ‎(“carbon black”)  dúch ‎(“ink”)",,"dúghorm ‎(“dark blue, navy blue”)  dú- ‎(“black, dark; great, intense; evil; dark, unknown”)  geabhróg dhubh ‎(“black tern”)  grús píbdhubh ‎(“black-necked crane, Tibetan crane”)  leann dubh ‎(“stout, porter”)",,"lon dubh ‎(“blackbird”)  lúbán dubh, putóg dhubh ‎(“black pudding”)  píbdhubh ‎(“black-necked”)  piobar dubh m ‎(“black pepper”)  scothdhubh ‎(“blackish”)",,,,,,,,,,,,,,,
Bare forms (no plural of this noun) Case Singular  Nominative  dubh  Vocative  a dhuibh  Genitive  duibh  Dative  dubh,Case,Singular,Nominative,dubh,Vocative,a dhuibh,Genitive,duibh,Dative,dubh,Forms with the definite article: Case Singular  Nominative  an dubh  Genitive  an duibh  Dative  leis an dubh don dubh,Case,Singular,Nominative,an dubh,Genitive,an duibh,Dative,leis an dubh don dubh
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,dubh,,,,,,,,,,,,,,,,,,
Vocative,a dhuibh,,,,,,,,,,,,,,,,,,
Genitive,duibh,,,,,,,,,,,,,,,,,,
Dative,dubh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an dubh,,,,,,,,,,,,,,,,,,
Genitive,an duibh,,,,,,,,,,,,,,,,,,
Dative,leis an dubh don dubh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,dubh,,,,,,,,,,,,,,,,,,
Vocative,a dhuibh,,,,,,,,,,,,,,,,,,
Genitive,duibh,,,,,,,,,,,,,,,,,,
Dative,dubh,,,,,,,,,,,,,,,,,,
Case,Singular,,,,,,,,,,,,,,,,,,
Nominative,an dubh,,,,,,,,,,,,,,,,,,
Genitive,an duibh,,,,,,,,,,,,,,,,,,
Dative,leis an dubh don dubh,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,
dubh,dhubh,ndubh,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,
