0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
,Singular,Plural (m/f),,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,Masculine,Feminine,(strong noun),(weak noun),,,,,,,,,,,,,,,,,,,,,,,,
Nominative,beag,bheag,beaga;bheaga²,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,bhig,beaga,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,bige,beaga,beag,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,beag;bheag¹,bheag;bhig (archaic),beaga;bheaga²,,,,,,,,,,,,,,,,,,,,,,,,,
Comparative,níos lú,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superlative,is lú,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Áise Bheag f ‎(“Asia Minor”)  anairt bheag f ‎(“sailcloth, canvas”)  baile beag m ‎(“village, small town”)  beagadán m ‎(“diminutive person; little one”) (hypocoristic)  beagaigh ‎(“lessen, diminish”, verb)  beagán m ‎(“a little, a bit, a few”)",,"beag- ‎(“small; -less; un-, in-”)  beagnach ‎(“almost, nearly”, adverb)  bilbí beag m ‎(“lesser bilby”)  An Bhreatain Bheag f ‎(“Wales”)  caolán beag m ‎(“ileum”)  falcóg bheag f ‎(“little auk”)",,"méar bheag f ‎(“little finger, pinkie”)  pláta beag m ‎(“side plate”)  rón beag m ‎(“common seal, harbor seal”)  rud beag ‎(“a little, a bit, somewhat”, adverb)  tiomóid bheag f ‎(“smaller catstail”)  ulchabhán beag m ‎(“little owl”)",,,,,,,,,,,,,,,,,,,,,,,,
Bare forms: Case Singular Plural  Nominative  beag  beaganna  Vocative  a bhig  a bheaganna  Genitive  big  beaganna  Dative  beag  beaganna,Case,Singular,Plural,Nominative,beag,beaganna,Vocative,a bhig,a bheaganna,Genitive,big,beaganna,Dative,beag,beaganna,Forms with the definite article: Case Singular Plural  Nominative  an beag  na beaganna  Genitive  an bhig  na mbeaganna  Dative  leis an mbeag don bheag  leis na beaganna,Case,Singular,Plural,Nominative,an beag,na beaganna,Genitive,an bhig,na mbeaganna,Dative,leis an mbeag don bheag,leis na beaganna
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,beag,beaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a bhig,a bheaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,big,beaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,beag,beaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an beag,na beaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an bhig,na mbeaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an mbeag don bheag,leis na beaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,beag,beaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a bhig,a bheaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,big,beaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,beag,beaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an beag,na beaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,an bhig,na mbeaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,leis an mbeag don bheag,leis na beaganna,,,,,,,,,,,,,,,,,,,,,,,,,,
Irish mutation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,,,,,,,,,,,,,,,,,,,,
beag,bheag,mbeag,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
