0,1,2,3,4
,Singular,Plural (m/f),,
Positive,Masculine,Feminine,(strong noun),(weak noun)
Nominative,deas,dheas,deasa;dheasa²,
Vocative,dheis,deasa,,
Genitive,deise,deasa,deas,
Dative,deas;dheas¹,dheas;dheis (archaic),deasa;dheasa²,
Comparative,níos deise,,,
Superlative,is deise,,,
,Singular,Plural (m/f),,
Positive,Masculine,Feminine,(strong noun),(weak noun)
Nominative,deas,dheas,deasa;dheasa²,
Vocative,dheas,deasa,,
Genitive,deise,deasa,deas,
Dative,deas;dheas¹,dheas,deasa;dheasa²,
Comparative,níos deise,,,
Superlative,is deise,,,
Irish mutation,,,,
Radical,Lenition,Eclipsis,,
deas,dheas,ndeas,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,
