0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
"Bare forms Case Singular Plural  Nominative  néaróg  néaróga  Vocative  a néaróg  a néaróga  Genitive  néaróige  néaróg  Dative  néarógnéaróig (archaic, dialectal)  néaróga",Case,Singular,Plural,Nominative,néaróg,néaróga,Vocative,a néaróg,a néaróga,Genitive,néaróige,néaróg,Dative,"néarógnéaróig (archaic, dialectal)",néaróga,"Forms with the definite article Case Singular Plural  Nominative  an néaróg  na néaróga  Genitive  na néaróige  na néaróg  Dative  leis an néarógleis an néaróig (archaic, dialectal) don néarógdon néaróig (archaic, dialectal)  leis na néaróga",Case,Singular,Plural,Nominative,an néaróg,na néaróga,Genitive,na néaróige,na néaróg,Dative,"leis an néarógleis an néaróig (archaic, dialectal) don néarógdon néaróig (archaic, dialectal)",leis na néaróga
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,néaróg,néaróga,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a néaróg,a néaróga,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,néaróige,néaróg,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,"néarógnéaróig (archaic, dialectal)",néaróga,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an néaróg,na néaróga,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na néaróige,na néaróg,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,"leis an néarógleis an néaróig (archaic, dialectal) don néarógdon néaróig (archaic, dialectal)",leis na néaróga,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,néaróg,néaróga,,,,,,,,,,,,,,,,,,,,,,,,,,
Vocative,a néaróg,a néaróga,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,néaróige,néaróg,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,"néarógnéaróig (archaic, dialectal)",néaróga,,,,,,,,,,,,,,,,,,,,,,,,,,
Case,Singular,Plural,,,,,,,,,,,,,,,,,,,,,,,,,,
Nominative,an néaróg,na néaróga,,,,,,,,,,,,,,,,,,,,,,,,,,
Genitive,na néaróige,na néaróg,,,,,,,,,,,,,,,,,,,,,,,,,,
Dative,"leis an néarógleis an néaróig (archaic, dialectal) don néarógdon néaróig (archaic, dialectal)",leis na néaróga,,,,,,,,,,,,,,,,,,,,,,,,,,
"néaróg abduchtach f ‎(“abducens nerve”)  néarógach ‎(“nervous, neural, neurological”, adjective)  néaróg chéadfach f ‎(“sensory nerve”)",,néaróg éadain f ‎(“facial nerve”)  néaróg éisteachta f ‎(“auditory nerve”)  néaróg luaile f ‎(“motor nerve”),,néaróg mheánach f ‎(“median nerve”)  néaróg radhairc f ‎(“visual nerve”),,,,,,,,,,,,,,,,,,,,,,,,
"néarach ‎(“neural”, adjective)  néarailge f ‎(“neuralgia”)  néarcheann m ‎(“nerve-ending”)  néarchill f ‎(“nerve cell”)  néarchóras m ‎(“nervous system”)",,"néarchorda m ‎(“nerve-cord”)  néareolaí m ‎(“neurologist”)  néareolaíocht f ‎(“neurology”)  néarmhatánach ‎(“neuro-muscular”, adjective)  néaróiseach ‎(“neurotic”, adjective)",,néaróis f ‎(“neurosis”)  néarón m ‎(“neuron”)  néar-ríog f ‎(“nerve-impulse”)  néarshnáithín m ‎(“nerve-fibre”),,,,,,,,,,,,,,,,,,,,,,,,
