0,1,2,3
Masculine n-stem,,,
Case,Singular,Dual,Plural
Nominative,gobae,gobainnL,gobainn
Vocative,gobae,gobainnL,goibnea?
Accusative,gobainnN,gobainnL,
Genitive,gobann,gobannL,gobannN
Dative,gobainnL,goibnib?,
Forms marked L trigger lenition of a following adjective; forms marked N trigger nasalization.,,,
Old Irish mutation,,,
Radical,Lenition,Nasalization,
gobae,gobaepronounced with /ɣ(ʲ)-/,ngobae,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,
