0,1,2,3,4,5,6,7,8,9
,singular,plural,relative,autonomous,,,,,
first,second,third,first,second,third,,,,
indicative,present,faighim,faigheann tú; faighir†,"faigheann sé, sí",faighimid; faigheann muid,faigheann sibh,faigheann siad; faighid†,a fhaigheann; a fhaigheas /a bhfaigheann*; a bhfaigheas*,faightear
past,fuair mé; fuaireas,fuair tú; fuairis,"fuair sé, sí",fuaireamar; fuair muid,fuair sibh; fuaireabhair,fuair siad; fuaireadar,a fuair /a bhfuair*,fuarthas,
past habitual,d’fhaighinn /fhaighinn‡,d’fhaighteá /fhaighteá‡,"d’fhaigheadh sé, sí /fhaigheadh sé, sí‡",d’fhaighimis; fhaigheadh muid /fhaighimis‡; fhaigheadh muid‡,d’fhaigheadh sibh /fhaigheadh sibh‡,d’fhaighidís; d’fhaigheadh siad /fhaighidís‡; fhaigheadh siad‡,a d’fhaigheadh /ar fhaigheadh*,d’fhaightí /fhaightí‡,
future independent,gheobhaidh mé; gheobhad,gheobhaidh tú; gheobhair†,"gheobhaidh sé, sí",gheobhaimid; gheobhaidh muid,gheobhaidh sibh,gheobhaidh siad; gheobhaid†,a gheobhaidh; a gheobhas,gheofar,
future dependent,faighidh mé; faighead,faighidh tú; faighir†,"faighidh sé, sí",faighimid; faighidh muid,faighidh sibh,faighidh siad; faighid†,a bhfaighidh*; a bhfaigheas*,faighfear,
conditional independent,gheobhainn,gheofá,"gheobhadh sé, sí",gheobhaimis; gheobhadh muid,gheobhadh sibh,gheobhaidís; gheobhadh siad,a gheobhadh,gheofaí,
conditional dependent,faighinn,faighfeá,"faigheadh sé, sí",faighimis; faigheadh muid,faigheadh sibh,faighidís*; faigheadh siad*,a bhfaigheadh,faighfí,
subjunctive,present,go bhfaighe mé; go bhfaighead†,go bhfaighe tú; go bhfaighir†,"go bhfaighe sé, sí",go bhfaighimid; go bhfaighe muid,go bhfaighe sibh,go bhfaighe siad; go bhfaighid†,—,go bhfaightear
past,dá bhfaighinn,dá bhfaighteá,"dá bhfaigheadh sé, sí",dá bhfaighimis; dá bhfaigheadh muid,dá bhfaigheadh sibh,dá bhfaighidís; dá bhfaigheadh siad,—,dá bhfaightí,
imperative,faighim,faigh,"faigheadh sé, sí",faighimis,faighigí; faighidh†,faighidís,—,faightear,
verbal noun,fáil,,,,,,,,
past participle,faighte,,,,,,,,
,singular,plural,relative,autonomous,,,,,
first,second,third,first,second,third,,,,
present indicative,gheibhim,gheibheann tú; gheibh tú; gheibhir,"gheibheann sé, sí; gheibh sé, sí",gheibhimid; gheibh muid,gheibheann sibh; gheibh sibh,gheibheann siad; gheibh siad; gheibhid,a gheibheann; a gheibh; a gheibheas,gheibhtear,
past habitual,gheibhinn,gheibhteá,"gheibheadh sé, sí",gheibhimis,gheibheadh sibh,gheibhidís; gheibheadh siad,a gheibheadh,gheibhtí,
Irish mutation,,,,,,,,,
Radical,Lenition,Eclipsis,,,,,,,
faigh,fhaigh,bhfaigh,,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,,
