0,1,2,3,4,5,6,7,8
,1st sing.,2d sing.,3d sing.,Passive sing.,,,,
1st pl.,2d pl.,3d pl.,Passive pl.,,,,,
Present indicative,fo·álgim,,fu·[f]álgi,,,·fálgi,fo·álagar,
,,,,,,,,
Imperfect indicative,,,,,,,,
,,,,,,,,
Preterite,,,,,fo·álaig,,,
,,,,,,,·fálguide,
Perfect,,,,,fo·rálaig,,,
,,,,,,,,
Future,,,,,,,,
,,,,,,,,
Conditional,,,,,,,,
,,,,,,,·fáilgifitis,
Present subjunctive,,,,,,,,
,,,,,,,,
Past subjunctive,,,,,,,,
,,,,,,,,
Imperative,,,,,,,,
,,,,,,,,
Note: only forms actually attested in Old Irish are listed here.,,,,,,,,
Old Irish mutation,,,,,,,,
Radical,Lenition,Nasalization,,,,,,
fo·álgi,unchanged,fo·n-álgi,,,,,,
Note: Some of these forms may be hypothetical. Not everypossible mutated form of every word actually occurs.,,,,,,,,
