0,1,2,3,4,5,6,7
infinitive,espandere,,,,,,
gerund,espandendo,,,,,,
present participle,espandente,,,,,,
past participle,espanso,,,,,,
person,singular,plural,,,,,
first,second,third,first,second,third,,
indicative,,io,tu,lui/lei,noi,voi,loro
present,espando,espandi,espande,espandiamo,espandete,espandono,
imperfect,espandevo,espandevi,espandeva,espandevamo,espandevate,espandevano,
passato remoto,espansi,espandesti,espanse,espandemmo,espandeste,espansero,
future,espanderò,espanderai,espanderà,espanderemo,espanderete,espanderanno,
conditional,espanderei,espanderesti,espanderebbe,espanderemmo,espandereste,espanderebbero,
subjunctive,,che io,che tu,che lui/che lei,che noi,che voi,che loro
present,espanda,espanda,espanda,espandiamo,espandiate,espandano,
imperfect,espandessi,espandessi,espandesse,espandessimo,espandeste,espandessero,
imperative,-,tu,lui/lei,noi,voi,loro,
,espandi,espanda,espandiamo,espandete,espandano,,
