0,1,2,3
"俄然 (がぜん) ‎(gazen): suddenly, abruptly  俄雨 (にわかあめ) ‎(niwakaame): rain shower",,,
Stem forms,,,
Imperfective (未然形),俄だろ,にわかだろ,niwaka daro
Continuative (連用形),俄で,にわかで,niwaka de
Terminal (終止形),俄だ,にわかだ,niwaka da
Attributive (連体形),俄な,にわかな,niwaka na
Hypothetical (仮定形),俄なら,にわかなら,niwaka nara
Imperative (命令形),俄であれ,にわかであれ,niwaka de are
Key constructions,,,
Informal negative,俄ではない俄じゃない,にわかではないにわかじゃない,niwaka de wa nainiwaka ja nai
Informal past,俄だった,にわかだった,niwaka datta
Informal negative past,俄ではなかった俄じゃなかった,にわかではなかったにわかじゃなかった,niwaka de wa nakattaniwaka ja nakatta
Formal,俄です,にわかです,niwaka desu
Formal negative,俄ではありません俄じゃありません,にわかではありませんにわかじゃありません,niwaka de wa arimasenniwaka ja arimasen
Formal past,俄でした,にわかでした,niwaka deshita
Formal negative past,俄ではありませんでした俄じゃありませんでした,にわかではありませんでしたにわかじゃありませんでした,niwaka de wa arimasen deshitaniwaka ja arimasen deshita
Conjunctive,俄で,にわかで,niwaka de
Conditional,俄なら（ば）,にわかなら（ば）,niwaka nara (ba)
Provisional,俄だったら,にわかだったら,niwaka dattara
Volitional,俄だろう,にわかだろう,niwaka darō
Adverbial,俄に,にわかに,niwaka ni
Degree,俄さ,にわかさ,niwakasa
