0,1,2,3,4
Kanji in this term,,,,
長,,,,
ながGrade: 2,,,,
kun'yomi,,,,
ひょろ長 (なが)い ‎(hyoronagai)  尻 (しり)が長 (なが)い ‎(shiri ga nagai)  待 (ま)つ身 (み)は長 (なが)い ‎(matsumi wa nagai)  息 (いき)の長 (なが)い ‎(iki no nagai)  気 (き)が長 (なが)い ‎(ki ga nagai): patient  気 (き)の長 (なが)い ‎(ki no nagai): patient,,"細長 (ほそなが)い ‎(hosonagai)  胴 (どう)が長 (なが)い ‎(dō ga nagai): having a long body, long-bodied  胴 (どう)の長 (なが)い ‎(dō no nagai): having a long body, long-bodied  長 (なが)い事 (こと) ‎(nagai koto): for a long time",,"長 (なが)い目 (め) ‎(nagai me)  長 (なが)い目 (め)で見 (み)る ‎(nagai me de miru)  長 (なが)い茎 (くき)の有 (あ)る ‎(nagaikukinoaru), 長 (なが)い茎 (くき)のある ‎(nagaikukinoaru)  長椅子 (ながいす) ‎(nagaisu), 長 (なが)いす ‎(nagaisu)"
Stem forms,,,,
Imperfective (未然形),長かろ,ながかろ,nagakaro,
Continuative (連用形),長く,ながく,nagaku,
Terminal (終止形),長い,ながい,nagai,
Attributive (連体形),長い,ながい,nagai,
Hypothetical (仮定形),長けれ,ながけれ,nagakere,
Imperative (命令形),長かれ,ながかれ,nagakare,
Key constructions,,,,
Informal negative,長くない,ながくない,nagaku nai,
Informal past,長かった,ながかった,nagakatta,
Informal negative past,長くなかった,ながくなかった,nagaku nakatta,
Formal,長いです,ながいです,nagai desu,
Formal negative,長くないです,ながくないです,nagaku nai desu,
Formal past,長かったです,ながかったです,nagakatta desu,
Formal negative past,長くなかったです,ながくなかったです,nagaku nakatta desu,
Conjunctive,長くて,ながくて,nagakute,
Conditional,長ければ,ながければ,nagakereba,
Provisional,長かったら,ながかったら,nagakattara,
Volitional,長かろう,ながかろう,nagakarō,
Adverbial,長く,ながく,nagaku,
Degree,長さ,ながさ,nagasa,
