0,1,2,3
Kanji in this term,,,
簡,約,,
かんGrade: 6,やくGrade: 4,,
Stem forms,,,
Imperfective (未然形),簡約だろ,かんやくだろ,kan'yaku daro
Continuative (連用形),簡約で,かんやくで,kan'yaku de
Terminal (終止形),簡約だ,かんやくだ,kan'yaku da
Attributive (連体形),簡約な,かんやくな,kan'yaku na
Hypothetical (仮定形),簡約なら,かんやくなら,kan'yaku nara
Imperative (命令形),簡約であれ,かんやくであれ,kan'yaku de are
Key constructions,,,
Informal negative,簡約ではない簡約じゃない,かんやくではないかんやくじゃない,kan'yaku de wa naikan'yaku ja nai
Informal past,簡約だった,かんやくだった,kan'yaku datta
Informal negative past,簡約ではなかった簡約じゃなかった,かんやくではなかったかんやくじゃなかった,kan'yaku de wa nakattakan'yaku ja nakatta
Formal,簡約です,かんやくです,kan'yaku desu
Formal negative,簡約ではありません簡約じゃありません,かんやくではありませんかんやくじゃありません,kan'yaku de wa arimasenkan'yaku ja arimasen
Formal past,簡約でした,かんやくでした,kan'yaku deshita
Formal negative past,簡約ではありませんでした簡約じゃありませんでした,かんやくではありませんでしたかんやくじゃありませんでした,kan'yaku de wa arimasen deshitakan'yaku ja arimasen deshita
Conjunctive,簡約で,かんやくで,kan'yaku de
Conditional,簡約なら（ば）,かんやくなら（ば）,kan'yaku nara (ba)
Provisional,簡約だったら,かんやくだったら,kan'yaku dattara
Volitional,簡約だろう,かんやくだろう,kan'yaku darō
Adverbial,簡約に,かんやくに,kan'yaku ni
Degree,簡約さ,かんやくさ,kan'yakusa
Stem forms,,,
Imperfective (未然形),簡約し,かんやくし,kan'yaku shi
Continuative (連用形),簡約し,かんやくし,kan'yaku shi
Terminal (終止形),簡約する,かんやくする,kan'yaku suru
Attributive (連体形),簡約する,かんやくする,kan'yaku suru
Hypothetical (仮定形),簡約すれ,かんやくすれ,kan'yaku sure
Imperative (命令形),簡約せよ¹簡約しろ²,かんやくせよ¹かんやくしろ²,kan'yaku seyo¹kan'yaku shiro²
Key constructions,,,
Passive,簡約される,かんやくされる,kan'yaku sareru
Causative,簡約させる簡約さす,かんやくさせるかんやくさす,kan'yaku saserukan'yaku sasu
Potential,簡約できる,かんやくできる,kan'yaku dekiru
Volitional,簡約しよう,かんやくしよう,kan'yaku shiyō
Negative,簡約しない,かんやくしない,kan'yaku shinai
Negative continuative,簡約せず,かんやくせず,kan'yaku sezu
Formal,簡約します,かんやくします,kan'yaku shimasu
Perfective,簡約した,かんやくした,kan'yaku shita
Conjunctive,簡約して,かんやくして,kan'yaku shite
Hypothetical conditional,簡約すれば,かんやくすれば,kan'yaku sureba
¹ Written imperative ² Spoken imperative,,,
