0,1,2
Kanji in this term,,
聾,,
ろうHyōgaiji,,
on'yomi,,
Stem forms,,
Imperfective (未然形),ろうさろうし,rōsarōshi
Continuative (連用形),ろうし,rōshi
Terminal (終止形),ろうする,rōsuru
Attributive (連体形),ろうする,rōsuru
Hypothetical (仮定形),ろうすれ,rōsure
Imperative (命令形),ろうせろうしろろうせよ,rōserōshirorōseyo
Key constructions,,
Passive,ろうされる,rōsareru
Causative,ろうさせるろうさす,rōsaserurōsasu
Potential,ろうせる,rōseru
Volitional,ろうそうろうしよう,rōsōrōshiyō
Negative,ろうさないろうしない,rōsanairōshinai
Negative continuative,ろうさず,rōsazu
Formal,ろうします,rōshimasu
Perfective,ろうした,rōshita
Conjunctive,ろうして,rōshite
Hypothetical conditional,ろうすればろうせば,rōsurebarōseba
