0,1,2,3
Stem forms,,,
Imperfective (未然形),デブら,でぶら,debura
Continuative (連用形),デブり,でぶり,deburi
Terminal (終止形),デブる,でぶる,deburu
Attributive (連体形),デブる,でぶる,deburu
Hypothetical (仮定形),デブれ,でぶれ,debure
Imperative (命令形),デブれ,でぶれ,debure
Key constructions,,,
Passive,デブられる,でぶられる,deburareru
Causative,デブらせるデブらす,でぶらせるでぶらす,deburaserudeburasu
Potential,デブれる,でぶれる,debureru
Volitional,デブろう,でぶろう,deburō
Negative,デブらない,でぶらない,deburanai
Negative continuative,デブらず,でぶらず,deburazu
Formal,デブります,でぶります,deburimasu
Perfective,デブった,でぶった,debutta
Conjunctive,デブって,でぶって,debutte
Hypothetical conditional,デブれば,でぶれば,debureba
