0,1,2,3,4,5
Revised transcription,jeoreota,,,,
Revised transliteration,jeoleohda,,,,
McCune–Reischauer,chŏrŏt'a,,,,
Yale,celehta,,,,
Korean demonstratives edit,,,,,
Determiner,이,그,저,어느,
Pronoun,Human,이이,그이,저이,
이분,그분,저분,,,
이자,그자,저자,,,
이놈,그놈,저놈,,,
이년,그년,저년,,,
얘,걔,쟤,,,
Object,이,(그),(저),,
이것,그것,저것,어느 것,,
이거,그거,저거,어느 거,,
Place,여기,거기,저기,어디,
이곳,그곳,저곳,,,
Direction,이쪽,그쪽,저쪽,어느 쪽,
Time,이때,그때,접때,,
Verb,이러다,그러다,저러다,어쩌다,
Adjective,이렇다,그렇다,저렇다,어떻다,
이러하다,그러하다,저러하다,어떠하다,,
Adverb,이리,그리,저리,어찌,
이렇게,그렇게,저렇게,어떻게,,
이만큼,그만큼,저만큼,,,
Stems,,,,,
Stem 1,저렇 (jeoreo),,,,
Stem 2,저래 (jeorae),,,,
Stem 3,저러 (jeoreo),,,,
Conjugation type,"Consonant-stem, ㅎ(h)-determiner irregular",,,,
Sentence-final forms,,,,,
,Formal non polite(해라체),Informal non polite(해체),Informal polite(해요체),Formal polite(하십시오체),
Indicative,저렇다jeoreotapast: 저랬다jeoraetda,저래jeoraepast: 저랬어jeoraesseo,저래요jeoraeyopast: 저랬어요jeoraesseoyo,저렇습니다jeoreoseumnidapast: 저랬습니다jeoraetseumnida,
Interrogative,저러냐jeoreonyapast: 저랬냐jeoraennya,저래jeoraepast: 저랬어jeoraesseo,저래요jeoraeyopast: 저랬어요jeoraesseoyo,저렇습니까jeoreoseumnikkapast: 저랬습니까jeoraetseumnikka,
Assertive,저렇겠다jeoreoketda,저렇겠어jeoreokesseo,저렇겠어요jeoreokesseoyo,저렇겠습니다jeoreoketseumnida,
Connective forms,,,,,
Cause/Reason,저래jeorae,저래서jeoraeseo,저러니jeoreoni,저러니까jeoreonikka,
Contrast,저렇지만jeoreochiman,저런데jeoreonde,저렇더니jeoreoteoni,,
Conjunction,저렇고jeoreoko,,,,
Condition,저러면jeoreomyeon,저래야jeoraeya,,,
Noun and determiner forms,,,,,
Verbal nouns,저럼jeoreom,저렇기jeoreoki,,,
Past-tense verbal nouns,저랬음jeoraesseum,저랬기jeoraetgi,,,
Determiners,present,,저런jeoreon,,
future,,저럴jeoreol,,,
Sentence-final forms with honorific,,,,,
,Plain (해라체),Informal (해체),Polite (해요체),Formal (하십시오체),
Indicative,저러시다jeoreosidapast: 저러셨다jeoreosyeotda,저러셔jeoreosyeopast: 저러셨어jeoreosyeosseo,"저러세요, 저러셔요jeoreoseyo, jeoreosyeoyopast: 저러셨어요jeoreosyeosseoyo",저러십니다jeoreosimnidapast: 저러셨습니다jeoreosyeotseumnida,
Interrogative,저러시냐jeoreosinyapast: 저러셨냐jeoreosyeonnya,저러셔jeoreosyeopast: 저러셨어jeoreosyeosseo,"저러세요, 저러셔요jeoreoseyo, jeoreosyeoyopast: 저러셨어요jeoreosyeosseoyo",저러십니까jeoreosimnikkapast: 저러셨습니까jeoreosyeotseumnikka,
Assertive,저러시겠다jeoreosigetda,저러시겠어jeoreosigesseo,저러시겠어요jeoreosigesseoyo,저러시겠습니다jeoreosigetseumnida,
Connective forms with honorific,,,,,
Cause/Reason,저러셔jeoreosyeo,저러셔서jeoreosyeoseo,저러시니jeoreosini,저러시니까jeoreosinikka,
Contrast,저러시지만jeoreosijiman,저러신데jeoreosinde,저러시더니jeoreosideoni,,
Conjunction,저러시고jeoreosigo,,,,
Condition,저러시면jeoreosimyeon,저러셔야jeoreosyeoya,,,
Noun and determiner forms with honorific,,,,,
Verbal nouns,저러심jeoreosim,저러시기jeoreosigi,,,
Past-tense verbal nouns,저러셨음jeoreosyeosseum,저러셨기jeoreosyeotgi,,,
Determiners,present,,저러신jeoreosin,,
future,,저러실jeoreosil,,,
