0,1,2,3,4
Revised transcription,himdeulda,,,
Revised transliteration,himdeulda,,,
McCune–Reischauer,himdŭlda,,,
Yale,himtulta,,,
Stems,,,,
Stem 1,힘들 (himdeul),,,
Stem 2,힘들어 (himdeureo),,,
Stem 3,힘드 (himdeu),,,
Conjugation type,"Consonant-stem, ㄹ(l)-irregular",,,
Sentence-final forms,,,,
,Formal non polite(해라체),Informal non polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,힘들다himdeuldapast: 힘들었다himdeureotda,힘들어himdeureopast: 힘들었어himdeureosseo,힘들어요himdeureoyopast: 힘들었어요himdeureosseoyo,힘듭니다himdeumnidapast: 힘들었습니다himdeureotseumnida
Interrogative,힘드냐himdeunyapast: 힘들었냐himdeureonnya,힘들어himdeureopast: 힘들었어himdeureosseo,힘들어요himdeureoyopast: 힘들었어요himdeureosseoyo,힘듭니까himdeumnikkapast: 힘들었습니까himdeureotseumnikka
Assertive,힘들겠다himdeulgetda,힘들겠어himdeulgesseo,힘들겠어요himdeulgesseoyo,힘들겠습니다himdeulgetseumnida
Connective forms,,,,
Cause/Reason,힘들어himdeureo,힘들어서himdeureoseo,힘드니himdeuni,힘드니까himdeunikka
Contrast,힘들지만himdeuljiman,힘든데himdeunde,힘들더니himdeuldeoni,
Conjunction,힘들고himdeulgo,,,
Condition,힘들면himdeulmyeon,힘들어야himdeureoya,,
Noun and determiner forms,,,,
Verbal nouns,힘듦himdeum,힘들기himdeulgi,,
Past-tense verbal nouns,힘들었음himdeureosseum,힘들었기himdeureotgi,,
Determiners,present,,힘든himdeun,
future,,힘들himdeul,,
Sentence-final forms with honorific,,,,
,Plain (해라체),Informal (해체),Polite (해요체),Formal (하십시오체)
Indicative,힘드시다himdeusidapast: 힘드셨다himdeusyeotda,힘드셔himdeusyeopast: 힘드셨어himdeusyeosseo,"힘드세요, 힘드셔요himdeuseyo, himdeusyeoyopast: 힘드셨어요himdeusyeosseoyo",힘드십니다himdeusimnidapast: 힘드셨습니다himdeusyeotseumnida
Interrogative,힘드시냐himdeusinyapast: 힘드셨냐himdeusyeonnya,힘드셔himdeusyeopast: 힘드셨어himdeusyeosseo,"힘드세요, 힘드셔요himdeuseyo, himdeusyeoyopast: 힘드셨어요himdeusyeosseoyo",힘드십니까himdeusimnikkapast: 힘드셨습니까himdeusyeotseumnikka
Assertive,힘드시겠다himdeusigetda,힘드시겠어himdeusigesseo,힘드시겠어요himdeusigesseoyo,힘드시겠습니다himdeusigetseumnida
Connective forms with honorific,,,,
Cause/Reason,힘드셔himdeusyeo,힘드셔서himdeusyeoseo,힘드시니himdeusini,힘드시니까himdeusinikka
Contrast,힘드시지만himdeusijiman,힘드신데himdeusinde,힘드시더니himdeusideoni,
Conjunction,힘드시고himdeusigo,,,
Condition,힘드시면himdeusimyeon,힘드셔야himdeusyeoya,,
Noun and determiner forms with honorific,,,,
Verbal nouns,힘드심himdeusim,힘드시기himdeusigi,,
Past-tense verbal nouns,힘드셨음himdeusyeosseum,힘드셨기himdeusyeotgi,,
Determiners,present,,힘드신himdeusin,
future,,힘드실himdeusil,,
