0,1,2,3,4
Revised transcription,pyeoda,,,
Revised transliteration,pyeoda,,,
McCune–Reischauer,p'yŏda,,,
Yale,phyeta,,,
Stems,,,,
Stem 1,펴 (pyeo),,,
Stem 2,펴어 (pyeo-eo),,,
Stem 3,펴 (pyeo),,,
Conjugation type,"Vowel-stem, regular",,,
Sentence-final forms,,,,
,Formal non polite(해라체),Informal non polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,편다pyeondapast: 펴었다pyeo-eotda,펴어pyeo-eopast: 펴었어pyeo-eosseo,펴어요pyeo-eoyopast: 펴었어요pyeo-eosseoyo,폅니다pyeomnidapast: 펴었습니다pyeo-eotseumnida
Interrogative,펴느냐pyeoneunyapast: 펴었느냐pyeo-eonneunya,펴어pyeo-eopast: 펴었어pyeo-eosseo,펴어요pyeo-eoyopast: 펴었어요pyeo-eosseoyo,폅니까pyeomnikkapast: 펴었습니까pyeo-eotseumnikka
hortative,펴자pyeoja,펴어pyeo-eo,펴어요pyeo-eoyo,폅시다pyeopsida
imperative,펴어라pyeo-eora,펴어pyeo-eo,펴어요pyeo-eoyo,폅시오pyeopsio
Assertive,펴겠다pyeogetda,펴겠어pyeogesseo,펴겠어요pyeogesseoyo,펴겠습니다pyeogetseumnida
Connective forms,,,,
Cause/Reason,펴어pyeo-eo,펴어서pyeo-eoseo,펴니pyeoni,펴니까pyeonikka
Contrast,펴지만pyeojiman,펴는데pyeoneunde,펴더니pyeodeoni,
Conjunction,펴고pyeogo,,,
Condition,펴면pyeomyeon,펴어야pyeo-eoya,,
Motive,펴려고pyeoryeogo,,,
Noun and determiner forms,,,,
Verbal nouns,폄pyeom,펴기pyeogi,,
Past-tense verbal nouns,펴었음pyeo-eosseum,펴었기pyeo-eotgi,,
Determiners,past,편pyeon,,
present,펴는pyeoneun,,,
future,펼pyeol,,,
Sentence-final forms with honorific,,,,
,Formal non polite(해라체),Informal non polite(해체),Informal polite(해요체),Formal polite(하십시오체)
Indicative,펴신다pyeosindapast: 펴셨다pyeosyeotda,펴셔pyeosyeopast: 펴셨어pyeosyeosseo,"펴세요, 펴셔요pyeoseyo, pyeosyeoyopast: 펴셨어요pyeosyeosseoyo",펴십니다pyeosimnidapast: 펴셨습니다pyeosyeotseumnida
Interrogative,펴시느냐pyeosineunyapast: 펴셨느냐pyeosyeonneunya,펴셔pyeosyeopast: 펴셨어pyeosyeosseo,"펴세요, 펴셔요pyeoseyo, pyeosyeoyopast: 펴셨어요pyeosyeosseoyo",펴십니까pyeosimnikkapast: 펴셨습니까pyeosyeotseumnikka
imperative,펴시라pyeosira,펴셔pyeosyeo,펴세요pyeoseyo,펴십시오pyeosipsio
Assertive,펴시겠다pyeosigetda,펴시겠어pyeosigesseo,펴시겠어요pyeosigesseoyo,펴시겠습니다pyeosigetseumnida
Connective honforms with honorific,,,,
Cause/Reason,펴셔pyeosyeo,펴셔서pyeosyeoseo,펴시니pyeosini,펴시니까pyeosinikka
Contrast,펴시지만pyeosijiman,펴시는데pyeosineunde,펴시더니pyeosideoni,
Conjunction,펴시고pyeosigo,,,
Condition,펴시면pyeosimyeon,펴셔야pyeosyeoya,,
Motive,펴시려고pyeosiryeogo,,,
Noun and determiner honforms with honorific,,,,
Verbal nouns,펴심pyeosim,펴시기pyeosigi,,
Past-tense verbal nouns,펴셨음pyeosyeosseum,펴셨기pyeosyeotgi,,
Determiners,past,펴신pyeosin,,
present,펴시는pyeosineun,,,
future,펴실pyeosil,,,
Transitive,Intransitive,,,
펴다 (pyeoda),펴이다 (pyeoida)펴지다 (pyeojida),,,
피우다 (piuda) 피다 (pida),피다 (pida),,,
