0,1,2,3,4,5
Audio (Classical),,(file),,,
Audio (Ecclesiastical),,(file),,,
Audio (Roman),,(file),,,
Number,Singular,,Plural,,
Case / Gender,Masc./Fem.,Neuter,Masc./Fem.,Neuter,
nominative,caelestis,caeleste,,caelestēs,caelestia
genitive,caelestis,caelestium,,,
dative,caelestī,caelestibus,,,
accusative,caelestem,caeleste,caelestēs,caelestia,
ablative,caelestī,caelestibus,,,
vocative,caelestis,caeleste,caelestēs,caelestia,
caelestia  caelestiālis  intercaelestis,,succaelestis  supercaelestis,,,
caeles  caelestīnus  caelicola  caelicus  caelifer,,caelifluus  caeligenus  caeliger  caeliloquus,,caelipotēns  caelitēs  caelitus  caelum,
"English: celeste, celestial  French: céleste  Galician: celeste  Istriot: cialieste  Italian: celeste",,"Old Portuguese: celeste  Portuguese: celeste  Spanish: celeste, celestial  Venetian: celeste, zheleste",,,
