0,1,2,3,4,5,6,7
PIE root,,,,,,,
*sweh₂d-,,,,,,,
"Conjugation of suavior (first conjugation, deponent)",,,,,,,
indicative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,suāvior,"suāviāris, suāviāre",suāviātur,suāviāmur,suāviāminī,suāviantur
imperfect,suāviābar,"suāviābāris, suāviābāre",suāviābātur,suāviābāmur,suāviābāminī,suāviābantur,
future,suāviābor,"suāviāberis, suāviābere",suāviābitur,suāviābimur,suāviābiminī,suāviābuntur,
perfect,suāviātus + present active indicative of sum,,,,,,
pluperfect,suāviātus + imperfect active indicative of sum,,,,,,
future perfect,suāviātus + future active indicative of sum,,,,,,
subjunctive,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,suāvier,"suāviēris, suāviēre",suāviētur,suāviēmur,suāviēminī,suāvientur
imperfect,suāviārer,"suāviārēris, suāviārēre",suāviārētur,suāviārēmur,suāviārēminī,suāviārentur,
perfect,suāviātus + present active subjunctive of sum,,,,,,
pluperfect,suāviātus + imperfect active subjunctive of sum,,,,,,
imperative,singular,plural,,,,,
first,second,third,first,second,third,,
active,present,—,suāviāre,—,—,suāviāminī,—
future,—,suāviātor,suāviātor,—,—,suāviantor,
non-finite forms,active,passive,,,,,
present,perfect,future,present,perfect,future,,
infinitives,suāviārī,suāviātus esse,suāviātūrus esse,—,—,suāviātum īrī,
participles,suāviāns,suāviātus,suāviātūrus,—,—,suāviandus,
verbal nouns,gerund,supine,,,,,
nominative,genitive,dative/ablative,accusative,accusative,ablative,,
suāviārī,suāviandī,suāviandō,suāviandum,suāviātum,suāviātū,,
Number,Singular,,Plural,,,,
Case / Gender,Masc./Fem.,Neuter,Masc./Fem.,Neuter,,,
nominative,suāvior,suāvius,,suāviōrēs,suāviōra,,
genitive,suāviōris,suāviōrum,,,,,
dative,suāviōrī,suāviōribus,,,,,
accusative,suāviōrem,suāvius,suāviōrēs,suāviōra,,,
ablative,suāviōre,suāviōribus,,,,,
vocative,suāvior,suāvius,suāviōrēs,suāviōra,,,
