0,1,2,3
Audio (Classical),,(file),
Case,Singular,Plural,
nominative,īnsula,īnsulae,
genitive,īnsulae,īnsulārum,
dative,īnsulae,īnsulīs,
accusative,īnsulam,īnsulās,
ablative,īnsulā,īnsulīs,
vocative,īnsula,īnsulae,
Īnsula  īnsulānus  īnsulāris  īnsulārius,,īnsulensis  īnsulōsus  paenīnsula,
"edit  Albanian: ishull  Basque: irla  Emilian: îsla  Esperanto: insulo  Ido: insulo  Interlingua: insula  Interlingue: insul  Italo-Dalmatian:  Corsican: isula  Italian: isola  Neapolitan: isule  Sicilian: ìsula  Lombard: isula  Navarro-Aragonese:  Aragonese: isla  Novial: isle  Old French: isle  Middle English:  English: isle, insula (borrowing)  Middle French: isle  French: île, ile  Antillean Creole: zil  Haitian Creole: zil, zile  Norman: île  Walloon: iye  Old High German:  Alemannic German: Insle  Bavarian: Insl  German: Insel, Insul  Volapük: nisul  Luxembourgish: Insel  Yiddish: אינדזל ‎(indzl), אינזל ‎(inzl)  Old Portuguese: inssoa, insoa, insua  Galician: insua  Portuguese: ínsua, ínsula (borrowing)  Old Provençal: illa, ilha, isla  Occitan: illa, iscla  Old Catalan:  Catalan: illa  Old Portuguese: illa, ilha  Galician: illa  Leonese: illa  Mirandese: ilha  Portuguese: ilha  Kabuverdianu: ilha  Old Spanish: isla  Asturian: islla, isla  Extremaduran: isla  Ladino: ísla, ízla (Latin spelling)  Old Portuguese: ysla, isla, yslla, yslha  Spanish: isla, ínsula (borrowing)  Chamicuro: yishla  Inabaknon: isla  Papiamentu: isla  Tagalog: ísla  Rhaeto-Romance:  Friulian: isule, ìsule  Romansch: insla  Romanian: insulă (borrowing)  Sardinian: isula  Venetian: ixoła","Albanian: ishull  Basque: irla  Emilian: îsla  Esperanto: insulo  Ido: insulo  Interlingua: insula  Interlingue: insul  Italo-Dalmatian:  Corsican: isula  Italian: isola  Neapolitan: isule  Sicilian: ìsula  Lombard: isula  Navarro-Aragonese:  Aragonese: isla  Novial: isle  Old French: isle  Middle English:  English: isle, insula (borrowing)  Middle French: isle  French: île, ile  Antillean Creole: zil  Haitian Creole: zil, zile  Norman: île  Walloon: iye  Old High German:  Alemannic German: Insle  Bavarian: Insl  German: Insel, Insul  Volapük: nisul  Luxembourgish: Insel  Yiddish: אינדזל ‎(indzl), אינזל ‎(inzl)",,"Old Portuguese: inssoa, insoa, insua  Galician: insua  Portuguese: ínsua, ínsula (borrowing)  Old Provençal: illa, ilha, isla  Occitan: illa, iscla  Old Catalan:  Catalan: illa  Old Portuguese: illa, ilha  Galician: illa  Leonese: illa  Mirandese: ilha  Portuguese: ilha  Kabuverdianu: ilha  Old Spanish: isla  Asturian: islla, isla  Extremaduran: isla  Ladino: ísla, ízla (Latin spelling)  Old Portuguese: ysla, isla, yslla, yslha  Spanish: isla, ínsula (borrowing)  Chamicuro: yishla  Inabaknon: isla  Papiamentu: isla  Tagalog: ísla  Rhaeto-Romance:  Friulian: isule, ìsule  Romansch: insla  Romanian: insulă (borrowing)  Sardinian: isula  Venetian: ixoła"
