0,1,2,3,4
,,(file),,
,masculine (vīriešu dzimte),,feminine (sieviešu dzimte),
singular (vienskaitlis),plural (daudzskaitlis),singular (vienskaitlis),plural (daudzskaitlis),
nominative (nominatīvs),dzeltens,dzelteni,dzeltena,dzeltenas
accusative (akuzatīvs),dzeltenu,dzeltenus,dzeltenu,dzeltenas
genitive (ģenitīvs),dzeltena,dzeltenu,dzeltenas,dzeltenu
dative (datīvs),dzeltenam,dzelteniem,dzeltenai,dzeltenām
instrumental (instrumentālis),dzeltenu,dzelteniem,dzeltenu,dzeltenām
locative (lokatīvs),dzeltenā,dzeltenos,dzeltenā,dzeltenās
vocative (vokatīvs),—,—,—,—
,,,,
Colors in Latvian · krāsas (layout · text),,,,
"sarkans, sārts",zaļš,dzeltens,?,balts
{{{crimson}}},?,?,?,rozā
?,zils,oranžs,pelēks,?
melns,violets,brūns,?,?
