0,1,2
Picture dictionary,,
kuņģis aknas  tievāzarna  resnā zarna  taisnāzarna anālā atvere,,
(Cilvēka) zarnas,(Cilvēka) zarnas,
(Cilvēka) zarnas,,
ķermenis,ķermenis,ķermenis
ķermenis,ķermenis,
ķermenis,,
(Cilvēka) zarnas,,
ķermenis,ķermenis,
ķermenis,,
ķermenis,,
,singular (vienskaitlis),plural (daudzskaitlis)
nominative (nominatīvs),zarna,zarnas
accusative (akuzatīvs),zarnu,zarnas
genitive (ģenitīvs),zarnas,zarnu
dative (datīvs),zarnai,zarnām
instrumental (instrumentālis),zarnu,zarnām
locative (lokatīvs),zarnā,zarnās
vocative (vokatīvs),zarna,zarnas
