0,1,2,3
Picture dictionary,,,
plaušuvēnas plaušuvēnas plaušuartērija  labaispriekškambarisaorta  augšēja dobāvēna  mitrālaisvārstulis  aortasvārstulis  kreisaispriekš-kambaris kreisaiskambaris  labaiskambaris plaušuvārstulis trīsviruvārstulis apakšējā dobā vēna,,,
(Cilvēka) sirds (1),(Cilvēka) sirds (1),,
(Cilvēka) sirds (1),,,
ķermenis,ķermenis,ķermenis,
ķermenis,ķermenis,,
ķermenis,,,
(Cilvēka) sirds (1),,,
ķermenis,ķermenis,,
ķermenis,,,
ķermenis,,,
,singular (vienskaitlis),plural (daudzskaitlis),
nominative (nominatīvs),sirds,sirdis,
accusative (akuzatīvs),sirdi,sirdis,
genitive (ģenitīvs),sirds,siržu,
dative (datīvs),sirdij,sirdīm,
instrumental (instrumentālis),sirdi,sirdīm,
locative (lokatīvs),sirdī,sirdīs,
vocative (vokatīvs),sirds,sirdis,
"grūtsirdīgs  sirdsapziņa  sirdsdarbība, sirds darbība  sirdsdegsme, sirds degsme  sirdsdraugs, sirds draugs  sirdsdraudzene, sirds draudzene",,"sirdskaite, sirds kaite  sirdsklauves, sirds klauves  sirdslēkme, sirds lēkme  sirdslieta, sirds lieta  sirdīgs  sirsnīgs",
"Suits in Latvian · sugas (see also: kārts, spēļu kārts) (layout · text)",,,
,,,
sirdis,kāravi,pīķi,krusti
