0,1,2,3,4,5,6
,INDICATIVE (īstenības izteiksme),IMPERATIVE(pavēles izteiksme),,,,
,,Present(tagadne),Past(pagātne),Future(nākotne),,
1st pers. sg.,es,dodos,devos,došos,—,
2nd pers. sg.,tu,dodies,devies,dosies,dodies,
3rd pers. sg.,"viņš, viņa",dodas,devās,dosies,lai dodas,
1st pers. pl.,mēs,dodamies,devāmies,dosimies,dosimies,
2nd pers. pl.,jūs,dodaties,devāties,"dosieties,dosities",dodieties,
3rd pers. pl.,"viņi, viņas",dodas,devās,dosies,lai dodas,
,,,,,,
CONJUNCTIVE (atstāstījuma izteiksme),PARTICIPLES (divdabji),,,,,
Present,dodoties,Present Active 1 (Adj.),—,,,
Past,esot devies,Present Active 2 (Adv.),dodamies,,,
Future,došoties,Present Active 3 (Adv.),dodoties,,,
Imperative,lai dodoties,Present Active 4 (Obj.),dodamies,,,
CONDITIONAL (vēlējuma izteiksme),Past Active,devies,,,,
Present,dotos,Present Passive,—,,,
Past,būtu devies,Past Passive,—,,,
DEBITIVE (vajadzības izteiksme),NOMINAL FORMS,,,,,
Indicative,(būt) jādodas,Infinitive (nenoteiksme),doties,,,
Conjunctive 1,esot jādodas,Negative Infinitive,nedoties,,,
Conjunctive 2,jādodoties,Verbal noun,došanās,,,
atdoties  izdoties,,nodoties  padoties,,pārdoties  sadoties,,uzdoties
