0,1,2,3,4,5
,INDICATIVE (īstenības izteiksme),IMPERATIVE(pavēles izteiksme),,,
,,Present(tagadne),Past(pagātne),Future(nākotne),
1st pers. sg.,es,—,—,—,—
2nd pers. sg.,tu,—,—,—,—
3rd pers. sg.,"viņš, viņa",garo,garoja,garos,lai garo
1st pers. pl.,mēs,—,—,—,—
2nd pers. pl.,jūs,—,—,—,—
3rd pers. pl.,"viņi, viņas",garo,garoja,garos,lai garo
,,,,,
CONJUNCTIVE (atstāstījuma izteiksme),PARTICIPLES (divdabji),,,,
Present,garojot,Present Active 1 (Adj.),garojošs,,
Past,esot garojis,Present Active 2 (Adv.),garodams,,
Future,garošot,Present Active 3 (Adv.),garojot,,
Imperative,lai garojot,Present Active 4 (Obj.),garojam,,
CONDITIONAL (vēlējuma izteiksme),Past Active,garojis,,,
Present,garotu,Present Passive,—,,
Past,būtu garojis,Past Passive,—,,
DEBITIVE (vajadzības izteiksme),NOMINAL FORMS,,,,
Indicative,(būt) jāgaro,Infinitive (nenoteiksme),garot,,
Conjunctive 1,esot jāgaro,Negative Infinitive,negarot,,
Conjunctive 2,jāgarojot,Verbal noun,garošana,,
