0,1,2,3,4,5
non-pronominal forms (neįvardžiuotinės formos),masculine (vyriškoji giminė),,feminine (moteriškoji giminė),,
singular (vienaskaita),plural (daugiskaita),singular (vienaskaita),plural (daugiskaita),,
positive degree (nelyginamasis laipsnis) neuter (bevardė giminė): trum̃pa,nominative (vardininkas),trum̃pas,trumpì,trumpà,trum̃pos
genitive (kilmininkas),trum̃po,trumpų̃,trumpõs,trumpų̃,
dative (naudininkas),trumpám,trumpíems,trum̃pai,trumpóms,
accusative (galininkas),trum̃pą,trumpùs,trum̃pą,trumpàs,
instrumental (įnagininkas),trumpù,trumpaĩs,trumpà,trumpomìs,
locative (vietininkas),trumpamè,trumpuosè,trumpojè,trumposè,
vocative (šauksmininkas),trum̃pas,trumpì,trumpà,trum̃pos,
,,,,,
comparative degree (aukštesnysis laipsnis) neuter (bevardė giminė): trumpiaũ,nominative (vardininkas),trumpèsnis,trumpesnì,trumpèsnė,trumpèsnės
genitive (kilmininkas),trumpèsnio,trumpesnių̃,trumpesnė̃s,trumpesnių̃,
dative (naudininkas),trumpesniám,trumpesníems,trumpèsnei,trumpesnė̃ms,
accusative (galininkas),trumpèsnį,trumpesniùs,trumpèsnę,trumpesnès,
instrumental (įnagininkas),trumpesniù,trumpesniaĩs,trumpesnè,trumpesnėmìs,
locative (vietininkas),trumpesniamè,trumpesniuosè,trumpèsnėje,trumpesnėsè,
,,,,,
superlative degree (aukščiausiasis laipsnis) neuter (bevardė giminė): trumpiáusia,nominative (vardininkas),trumpiáusias,trumpiáusi,trumpiáusia,trumpiáusios
genitive (kilmininkas),trumpiáusio,trumpiáusių,trumpiáusios,trumpiáusių,
dative (naudininkas),trumpiáusiam,trumpiáusiems,trumpiáusiai,trumpiáusioms,
accusative (galininkas),trumpiáusią,trumpiáusius,trumpiáusią,trumpiáusias,
instrumental (įnagininkas),trumpiáusiu,trumpiáusiais,trumpiáusia,trumpiáusiomis,
locative (vietininkas),trumpiáusiame,trumpiáusiuose,trumpiáusioje,trumpiáusiose,
pronominal forms (įvardžiuotinės formos),masculine (vyriškoji giminė),,feminine (moteriškoji giminė),,
singular (vienaskaita),plural (daugiskaita),singular (vienaskaita),plural (daugiskaita),,
positive degree (nelyginamasis laipsnis),nominative (vardininkas),trumpàsis,trumpíeji,trumpóji,trum̃posios
genitive (kilmininkas),trum̃pojo,trumpų̃jų,trumpõsios,trumpų̃jų,
dative (naudininkas),trumpájam,trumpíesiems,trum̃pajai,trumpósioms,
accusative (galininkas),trum̃pąjį,trumpúosius,trum̃pąją,trumpą́sias,
instrumental (įnagininkas),trumpúoju,trumpaĩsiais,trumpą́ja,trumpõsiomis,
locative (vietininkas),trumpãjame,trumpuõsiuose,trumpõjoje,trumpõsiose,
vocative (šauksmininkas),trumpàsis,trumpíeji,trumpóji,trum̃posios,
,,,,,
comparative degree (aukštesnysis laipsnis),nominative (vardininkas),trumpesnỹsis,trumpesníeji,trumpesnióji,trumpèsniosios
genitive (kilmininkas),trumpèsniojo,trumpesnių̃jų,trumpesniõsios,trumpesnių̃jų,
dative (naudininkas),trumpesniájam,trumpesníesiems,trumpèsniajai,trumpesniósioms,
accusative (galininkas),trumpèsnįjį,trumpesniúosius,trumpèsniąją,trumpesnią́sias,
instrumental (įnagininkas),trumpesniúoju,trumpesniaĩsiais,trumpesnią́ja,trumpesniõsiomis,
locative (vietininkas),trumpesniãjame,trumpesniuõsiuose,trumpesniõjoje,trumpesniõsiose,
,,,,,
superlative degree (aukščiausiasis laipsnis),nominative (vardininkas),trumpiáusiasis,trumpiáusieji,trumpiáusioji,trumpiáusiosios
genitive (kilmininkas),trumpiáusiojo,trumpiáusiųjų,trumpiáusiosios,trumpiáusiųjų,
dative (naudininkas),trumpiáusiajam,trumpiáusiesiems,trumpiáusiajai,trumpiáusiosioms,
accusative (galininkas),trumpiáusiąjį,trumpiáusiuosius,trumpiáusiąją,trumpiáusiąsias,
instrumental (įnagininkas),trumpiáusiuoju,trumpiáusiaisiais,trumpiáusiąja,trumpiáusiosiomis,
locative (vietininkas),trumpiáusiajame,trumpiáusiuosiuose,trumpiáusiojoje,trumpiáusiosiose,
"trumpakojis, trumpkojis",,,,,
santrumpa f,,,,,
trumpėti  trumpinti,,,,,
