0,1,2
nominative,niẽkas,
genitive,"niẽko, niẽkieno",
dative,niẽkam,
accusative,niẽką,
instrumental,"niekuõ, niekù",
locative,"niekamè, niẽkame",
vocative,niẽkas,
,singular (vienaskaita),plural (daugiskaita)
nominative (vardininkas),niẽkas,niẽkai
genitive (kilmininkas),niẽko,niẽkų
dative (naudininkas),niẽkui,niẽkams
accusative (galininkas),niẽką,niekùs
instrumental (įnagininkas),niekù,niẽkais
locative (vietininkas),niekè,niẽkuose
vocative (šauksmininkas),niẽke,niẽkai
,singular (vienaskaita),plural (daugiskaita)
nominative (vardininkas),niẽkas,niekaĩ
genitive (kilmininkas),niẽko,niekų̃
dative (naudininkas),niẽkui,niekáms
accusative (galininkas),niẽką,niekùs
instrumental (įnagininkas),niekù,niekaĩs
locative (vietininkas),niekè,niekuosè
vocative (šauksmininkas),niẽke,niekaĩ
"niekai  niekis, niekniekis  niekutis  niekšas m, niekšė f  niekinis  niekingas  niekinti",,niekalas  menkniekis  ničniekas  niekdarys  niektauška  niekuomet
