0,1,2,3,4,5,6,7
,singular (vienaskaita),,plural (daugiskaita),,,,
1st person (pirmasis asmuo),2nd person (antrasis asmuo),3rd person (trečiasis asmuo),1st person (pirmasis asmuo),2nd person (antrasis asmuo),3rd person (trečiasis asmuo),,
,aš,tu,jis/ji,mes,jūs,jie/jos,
indicative (tiesioginė nuosaka),present (esamasis laikas),išgeriù,išgeri,išgeria,"išgeriame, išgeriam","išgeriate, išgeriat",išgeria
past (būtasis kartinis laikas),išgėriau,išgėrei,išgėrė,"išgėrėme, išgeriom","išgėrėte, išgeriot",išgėrė,
past frequentative (būtasis dažninis laikas),išgerdavau,išgerdavai,išgerdavo,"išgerdavome, išgerdavom","išgerdavote, išgerdavot",išgerdavo,
future (būsimasis laikas),išgersiu,išgersi,išgers,"išgersime, išgersim","išgersite, išgersit",išgers,
subjunctive (tariamoji nuosaka),išgerčiau,išgertum,išgertų,"išgertumėme, išgertumėm, išgertume","išgertumėte, išgertumėt",išgertų,
imperative (liepiamoji nuosaka),—,"išgerk, išgerki",teišgeria,"išgerkime, išgerkim","išgerkite, išgerkit",teišgeria,
,active,passive,,,,,
present,"išgeriąs, išgeriantis",išgeriamas,,,,,
past,išgėręs,išgertas,,,,,
past frequentative,išgerdavęs,—,,,,,
future,"išgersiąs, išgersiantis",išgersimas,,,,,
,,,,,,,
participle of necessity,—,išgertinas,,,,,
,active,,,,,,
special adverbial participle,išgerdamas,,,,,,
,active,,,,,,
present adverbial,išgeriant,,,,,,
past adverbial,išgėrus,,,,,,
past frequentative adverbial,išgerdavus,,,,,,
future adverbial,išgersiant,,,,,,
,,,,,,,
manner of action participle,"išgerte, išgertinai",,,,,,
